variant,day,product,pnl
simple_mr_skew_all50,4,MICROCHIP_SQUARE,471
simple_mr_skew_all50,4,MICROCHIP_TRIANGLE,-14262
simple_mr_skew_all50,4,OXYGEN_SHAKE_CHOCOLATE,-2910
simple_mr_skew_all50,4,OXYGEN_SHAKE_EVENING_BREATH,-10540
simple_mr_skew_all50,4,OXYGEN_SHAKE_GARLIC,-28714
simple_mr_skew_all50,4,OXYGEN_SHAKE_MINT,-25257
simple_mr_skew_all50,4,OXYGEN_SHAKE_MORNING_BREATH,3938
simple_mr_skew_all50,4,PANEL_1X2,-11716
simple_mr_skew_all50,4,PANEL_1X4,-20839
simple_mr_skew_all50,4,PANEL_2X2,-6008
simple_mr_skew_all50,4,PANEL_2X4,-6000
simple_mr_skew_all50,4,PANEL_4X4,-4925
simple_mr_skew_all50,4,PEBBLES_L,13547
simple_mr_skew_all50,4,PEBBLES_M,-18694
simple_mr_skew_all50,4,PEBBLES_S,-44175
simple_mr_skew_all50,4,PEBBLES_XL,19168
simple_mr_skew_all50,4,PEBBLES_XS,6541
simple_mr_skew_all50,4,ROBOT_DISHES,82549
simple_mr_skew_all50,4,ROBOT_IRONING,-7405
simple_mr_skew_all50,4,ROBOT_LAUNDRY,-19385
simple_mr_skew_all50,4,ROBOT_MOPPING,-8238
simple_mr_skew_all50,4,ROBOT_VACUUMING,-3951
simple_mr_skew_all50,4,SLEEP_POD_COTTON,-23489
simple_mr_skew_all50,4,SLEEP_POD_LAMB_WOOL,-20668
simple_mr_skew_all50,4,SLEEP_POD_NYLON,-3220
simple_mr_skew_all50,4,SLEEP_POD_POLYESTER,1210
simple_mr_skew_all50,4,SLEEP_POD_SUEDE,-10007
simple_mr_skew_all50,4,SNACKPACK_CHOCOLATE,-3832
simple_mr_skew_all50,4,SNACKPACK_PISTACHIO,7671
simple_mr_skew_all50,4,SNACKPACK_RASPBERRY,-1595
simple_mr_skew_all50,4,SNACKPACK_STRAWBERRY,498
simple_mr_skew_all50,4,SNACKPACK_VANILLA,-6851
simple_mr_skew_all50,4,TRANSLATOR_ASTRO_BLACK,-18152
simple_mr_skew_all50,4,TRANSLATOR_ECLIPSE_CHARCOAL,-8053
simple_mr_skew_all50,4,TRANSLATOR_GRAPHITE_MIST,408
simple_mr_skew_all50,4,TRANSLATOR_SPACE_GRAY,-19574
simple_mr_skew_all50,4,TRANSLATOR_VOID_BLUE,-5033
simple_mr_skew_all50,4,UV_VISOR_AMBER,-17574
simple_mr_skew_all50,4,UV_VISOR_MAGENTA,-19138
simple_mr_skew_all50,4,UV_VISOR_ORANGE,-20636
simple_mr_skew_all50,4,UV_VISOR_RED,-20948
simple_mr_skew_all50,4,UV_VISOR_YELLOW,-5246
pure_inside_all50,2,GALAXY_SOUNDS_BLACK_HOLES,-6333
pure_inside_all50,2,GALAXY_SOUNDS_DARK_MATTER,1855
pure_inside_all50,2,GALAXY_SOUNDS_PLANETARY_RINGS,23252
pure_inside_all50,2,GALAXY_SOUNDS_SOLAR_FLAMES,-8796
pure_inside_all50,2,GALAXY_SOUNDS_SOLAR_WINDS,-9377
pure_inside_all50,2,MICROCHIP_CIRCLE,222
pure_inside_all50,2,MICROCHIP_OVAL,4638
pure_inside_all50,2,MICROCHIP_RECTANGLE,12736
pure_inside_all50,2,MICROCHIP_SQUARE,1474
pure_inside_all50,2,MICROCHIP_TRIANGLE,4961
pure_inside_all50,2,OXYGEN_SHAKE_CHOCOLATE,8866
pure_inside_all50,2,OXYGEN_SHAKE_EVENING_BREATH,1669
pure_inside_all50,2,OXYGEN_SHAKE_GARLIC,-2251
pure_inside_all50,2,OXYGEN_SHAKE_MINT,-2326
pure_inside_all50,2,OXYGEN_SHAKE_MORNING_BREATH,3677
pure_inside_all50,2,PANEL_1X2,-9595
pure_inside_all50,2,PANEL_1X4,16377
pure_inside_all50,2,PANEL_2X2,6944
pure_inside_all50,2,PANEL_2X4,1001
pure_inside_all50,2,PANEL_4X4,-6164
pure_inside_all50,2,PEBBLES_L,-5713
pure_inside_all50,2,PEBBLES_M,4261
pure_inside_all50,2,PEBBLES_S,19505
