candidate_id,lens,group,target,label,robust_param_count,best_total_pnl,best_min_day_pnl,best_trades,best_center_mode,best_threshold,best_horizon,best_exit_rule,best_slope_mode,best_vol_mode,thresholds_passing,horizons_passing,centers_passing,slope_modes_passing,vol_modes_passing
"basket_1v4|SLEEP_POD|SLEEP_POD_LAMB_WOOL|SLEEP_POD_SUEDE,SLEEP_POD_POLYESTER,SLEEP_POD_NYLON,SLEEP_POD_COTTON",basket_1v4,SLEEP_POD,SLEEP_POD_LAMB_WOOL,SLEEP_POD_LAMB_WOOL ~ other 4,34,23820.0,7710.0,38,raw,1.5,200,fixed,reverting,high_vol,"1.5,2.0","100,200,500","expanding,raw","any,reverting","any,high_vol,low_vol"
pair_ols|SLEEP_POD|SLEEP_POD_LAMB_WOOL|SLEEP_POD_COTTON,pair_ols,SLEEP_POD,SLEEP_POD_LAMB_WOOL,SLEEP_POD_LAMB_WOOL ~ SLEEP_POD_COTTON,34,15960.0,3970.0,23,raw,1.5,500,fixed,reverting,high_vol,"1.5,2.0","200,500",raw,"any,reverting","any,high_vol,low_vol"
pca1_residual|PANEL|PANEL_4X4|k=1,pca1_residual,PANEL,PANEL_4X4,PANEL_4X4 minus PCA1 reconstruction,34,25320.0,3610.0,35,rolling500,1.5,500,fixed,any,any,"1.5,2.0,2.5","100,200,500","raw,rolling500","any,reverting","any,high_vol,low_vol"
pair_ols|SNACKPACK|SNACKPACK_PISTACHIO|SNACKPACK_STRAWBERRY,pair_ols,SNACKPACK,SNACKPACK_PISTACHIO,SNACKPACK_PISTACHIO ~ SNACKPACK_STRAWBERRY,34,14090.0,1680.0,17,raw,2.0,500,zero_cross,reverting,high_vol,"1.5,2.0,2.5","100,200,500","expanding,raw,rolling500","any,reverting","any,high_vol,low_vol"
pca1_residual|GALAXY_SOUNDS|GALAXY_SOUNDS_SOLAR_FLAMES|k=1,pca1_residual,GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS_SOLAR_FLAMES minus PCA1 reconstruction,34,21820.0,1600.0,16,raw,1.5,500,fixed,reverting,any,1.5,"100,200,500","expanding,raw","any,reverting","any,high_vol,low_vol"
"integer_combo|MICROCHIP|MICROCHIP_SQUARE|-1,0,1,-1,0",integer_combo,MICROCHIP,MICROCHIP_SQUARE,-1*MICROCHIP_CIRCLE +1*MICROCHIP_SQUARE -1*MICROCHIP_RECTANGLE,32,12090.0,1690.0,80,raw,1.5,100,fixed,any,high_vol,"1.5,2.0","100,200,500",raw,"any,reverting","any,high_vol,low_vol"
pca1_residual|PEBBLES|PEBBLES_XL|k=1,pca1_residual,PEBBLES,PEBBLES_XL,PEBBLES_XL minus PCA1 reconstruction,30,60370.0,10790.0,59,rolling500,1.5,200,fixed,any,any,"1.5,2.0","100,200,500","raw,rolling500","any,reverting","any,high_vol,low_vol"
"integer_combo|PEBBLES|PEBBLES_M|1,0,1,0,-1",integer_combo,PEBBLES,PEBBLES_M,1*PEBBLES_XS +1*PEBBLES_M -1*PEBBLES_XL,30,17250.0,5440.0,28,raw,1.5,500,fixed,any,high_vol,"1.5,2.5","100,200,500","raw,rolling500","any,reverting","any,high_vol,low_vol"
pair_ols|PEBBLES|PEBBLES_L|PEBBLES_XS,pair_ols,PEBBLES,PEBBLES_L,PEBBLES_L ~ PEBBLES_XS,30,13940.0,4610.0,21,rolling500,2.0,500,zero_cross,reverting,any,"1.5,2.0","200,500","raw,rolling500","any,reverting","any,high_vol,low_vol"
pair_ols|TRANSLATOR|TRANSLATOR_ASTRO_BLACK|TRANSLATOR_VOID_BLUE,pair_ols,TRANSLATOR,TRANSLATOR_ASTRO_BLACK,TRANSLATOR_ASTRO_BLACK ~ TRANSLATOR_VOID_BLUE,30,13240.0,3660.0,107,raw,1.5,100,fixed,reverting,high_vol,"1.5,2.0","100,200,500","expanding,raw","any,reverting","any,high_vol,low_vol"
"integer_combo|MICROCHIP|MICROCHIP_CIRCLE|1,1,-1,-1,1",integer_combo,MICROCHIP,MICROCHIP_CIRCLE,1*MICROCHIP_CIRCLE +1*MICROCHIP_OVAL -1*MICROCHIP_SQUARE -1*MICROCHIP_RECTANGLE +1*MICROCHIP_TRIANGLE,30,7510.0,1610.0,23,rolling500,2.0,200,fixed,reverting,any,"1.5,2.0,2.5","100,200,500","expanding,rolling500","any,reverting","any,low_vol"
pca1_residual|SNACKPACK|SNACKPACK_PISTACHIO|k=1,pca1_residual,SNACKPACK,SNACKPACK_PISTACHIO,SNACKPACK_PISTACHIO minus PCA1 reconstruction,29,12860.0,2230.0,14,raw,2.0,500,fixed,any,high_vol,"1.5,2.0","100,200,500","expanding,raw,rolling500","any,reverting","any,high_vol,low_vol"
pair_ols|UV_VISOR|UV_VISOR_AMBER|UV_VISOR_MAGENTA,pair_ols,UV_VISOR,UV_VISOR_AMBER,UV_VISOR_AMBER ~ UV_VISOR_MAGENTA,29,7460.0,1850.0,47,expanding,1.5,200,fixed,reverting,any,"1.5,2.0,2.5","100,200,500","expanding,open100,raw,rolling500","any,reverting","any,low_vol"
"integer_combo|PEBBLES|PEBBLES_XL|0,-1,0,-1,1",integer_combo,PEBBLES,PEBBLES_XL,-1*PEBBLES_S -1*PEBBLES_L +1*PEBBLES_XL,28,50200.0,16000.0,18,rolling500,2.0,500,fixed,reverting,any,"1.5,2.0,2.5","100,200,500","raw,rolling500","any,reverting","any,high_vol,low_vol"
pca1_residual|SLEEP_POD|SLEEP_POD_LAMB_WOOL|k=1,pca1_residual,SLEEP_POD,SLEEP_POD_LAMB_WOOL,SLEEP_POD_LAMB_WOOL minus PCA1 reconstruction,28,15040.0,3970.0,21,raw,1.5,500,fixed,reverting,low_vol,"1.5,2.0","200,500",raw,"any,reverting","any,high_vol,low_vol"
pair_ols|TRANSLATOR|TRANSLATOR_VOID_BLUE|TRANSLATOR_ECLIPSE_CHARCOAL,pair_ols,TRANSLATOR,TRANSLATOR_VOID_BLUE,TRANSLATOR_VOID_BLUE ~ TRANSLATOR_ECLIPSE_CHARCOAL,26,11850.0,2960.0,30,raw,2.0,500,fixed,reverting,any,"1.5,2.0","100,200,500","raw,rolling500","any,reverting","any,high_vol,low_vol"
"integer_combo|OXYGEN_SHAKE|OXYGEN_SHAKE_GARLIC|-1,-1,-1,-1,1",integer_combo,OXYGEN_SHAKE,OXYGEN_SHAKE_GARLIC,-1*OXYGEN_SHAKE_MORNING_BREATH -1*OXYGEN_SHAKE_EVENING_BREATH -1*OXYGEN_SHAKE_MINT -1*OXYGEN_SHAKE_CHOCOLATE +1*OXYGEN_SHAKE_GARLIC,24,19740.0,1480.0,117,raw,1.5,200,fixed,reverting,low_vol,"1.5,2.0,2.5,3.0","200,500",raw,"any,reverting","high_vol,low_vol"
pair_ols|TRANSLATOR|TRANSLATOR_SPACE_GRAY|TRANSLATOR_VOID_BLUE,pair_ols,TRANSLATOR,TRANSLATOR_SPACE_GRAY,TRANSLATOR_SPACE_GRAY ~ TRANSLATOR_VOID_BLUE,24,6430.0,1470.0,32,expanding,2.0,100,fixed,any,any,"1.5,2.0","100,200,500",expanding,"any,reverting","any,low_vol"
"integer_combo|ROBOT|ROBOT_MOPPING|-1,1,1,-1,-1",integer_combo,ROBOT,ROBOT_MOPPING,-1*ROBOT_VACUUMING +1*ROBOT_MOPPING +1*ROBOT_DISHES -1*ROBOT_LAUNDRY -1*ROBOT_IRONING,22,22570.0,4860.0,105,raw,2.0,100,fixed,reverting,low_vol,"1.5,2.0","100,200","raw,rolling500","any,reverting","any,low_vol"
