verdict,group,target,threshold,horizon,exit_rule,depth_total_pnl,depth_min_day_pnl,depth_trades,depth_win_pct,signal_count,buy_signals,sell_signals,stable_threshold_count,stable_thresholds,simple_total_pnl_same_rule,simple_min_day_pnl_same_rule,simple_positive_days_same_rule,leaky_total_pnl_same_rule,top_short_trade_pct
tentative,GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_FLAMES,2.5,500,fixed_horizon,22230.0,1410.0,14,0.7142857142857143,4505,2492,2013,3,"1.5,2,2.5",850.0,0.0,1,4640.0,0.0
tentative,GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_FLAMES,1.5,200,fixed_horizon,21906.99999999999,820.0,94,0.5531914893617021,15299,9138,6161,3,"1.5,2,2.5",7786.000000000022,-2123.999999999978,2,22360.999999999985,0.015957446808510637
tentative,GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_FLAMES,1.5,200,zero_cross,21906.99999999999,820.0,94,0.5531914893617021,15299,9138,6161,3,"1.5,2,2.5",7786.000000000022,-2123.999999999978,2,22360.999999999985,0.015957446808510637
tentative,ROBOT,ROBOT_IRONING,2.5,500,fixed_horizon,20930.999999999956,2678.9999999999964,33,0.6363636363636364,13617,10973,2644,4,"1.5,2,2.5,3",10904.99999999999,0.0,2,3031.0000000000036,0.9393939393939394
tentative,ROBOT,ROBOT_IRONING,2.5,500,zero_cross,20930.999999999956,2678.9999999999964,33,0.6363636363636364,13617,10973,2644,4,"1.5,2,2.5,3",10904.99999999999,0.0,2,3031.0000000000036,0.9393939393939394
tentative,SLEEP_POD,SLEEP_POD_POLYESTER,2.0,100,fixed_horizon,20894.99999999991,2199.9999999999454,157,0.5987261146496815,14152,9128,5024,3,"1.5,2,3",7331.999999999989,0.0,2,11069.999999999945,0.3375796178343949
tentative,SLEEP_POD,SLEEP_POD_POLYESTER,2.0,100,zero_cross,20894.99999999991,2199.9999999999454,157,0.5987261146496815,14152,9128,5024,3,"1.5,2,3",7331.999999999989,0.0,2,11069.999999999945,0.3375796178343949
tentative,ROBOT,ROBOT_IRONING,2.0,500,fixed_horizon,20232.999999999956,1640.0,41,0.5365853658536586,16793,12688,4105,4,"1.5,2,2.5,3",9605.0,0.0,2,7776.000000000004,0.8658536585365854
tentative,ROBOT,ROBOT_IRONING,2.0,500,zero_cross,20232.999999999956,1640.0,41,0.5365853658536586,16793,12688,4105,4,"1.5,2,2.5,3",9605.0,0.0,2,7776.000000000004,0.8658536585365854
tentative,ROBOT,ROBOT_IRONING,2.5,200,fixed_horizon,18554.999999999898,149.9999999999909,80,0.4875,13617,10973,2644,2,"2.5,3",8105.999999999985,0.0,2,1230.0,0.91875
tentative,ROBOT,ROBOT_IRONING,2.5,200,zero_cross,18554.999999999898,149.9999999999909,80,0.4875,13617,10973,2644,2,"2.5,3",8105.999999999985,0.0,2,1230.0,0.91875
tentative,SLEEP_POD,SLEEP_POD_POLYESTER,3.0,200,fixed_horizon,16030.000000000036,3877.0000000000073,48,0.5416666666666666,8402,7576,826,4,"1.5,2,2.5,3",11062.000000000025,0.0,1,2987.0000000000073,0.3229166666666667
tentative,SLEEP_POD,SLEEP_POD_POLYESTER,3.0,200,zero_cross,16030.000000000036,3877.0000000000073,48,0.5416666666666666,8402,7576,826,4,"1.5,2,2.5,3",11062.000000000025,0.0,1,2987.0000000000073,0.3229166666666667
tentative,TRANSLATOR,TRANSLATOR_VOID_BLUE,2.0,500,fixed_horizon,16019.999999999945,3405.9999999999854,29,0.5862068965517241,12897,9471,3426,4,"1.5,2,2.5,3",9154.999999999982,0.0,2,12082.000000000007,0.25862068965517243
tentative,TRANSLATOR,TRANSLATOR_VOID_BLUE,2.0,500,zero_cross,16019.999999999945,3405.9999999999854,29,0.5862068965517241,12897,9471,3426,4,"1.5,2,2.5,3",9154.999999999982,0.0,2,11660.0,0.25862068965517243
tentative,OXYGEN_SHAKE,OXYGEN_SHAKE_MINT,2.0,500,fixed_horizon,15990.0,1410.0,36,0.5277777777777778,15462,8163,7299,4,"1.5,2,2.5,3",14030.0,0.0,2,2713.9999999999964,0.0
tentative,OXYGEN_SHAKE,OXYGEN_SHAKE_MINT,2.0,500,zero_cross,15990.0,1410.0,36,0.5277777777777778,15462,8163,7299,4,"1.5,2,2.5,3",14030.0,0.0,2,2713.9999999999964,0.0
tentative,TRANSLATOR,TRANSLATOR_VOID_BLUE,1.5,500,fixed_horizon,15752.999999999938,1621.999999999989,36,0.5833333333333334,14746,10120,4626,4,"1.5,2,2.5,3",9851.999999999989,0.0,2,16401.99999999999,0.3194444444444444
