group,target,center_mode,threshold,horizon,days,total_pnl,min_day_pnl,positive_days,total_trades,win_pct,avg_pnl_per_trade,avg_hold
PEBBLES,PEBBLES_XL,open500,2.0,100,3,-5400.0,-31090.0,1,209,0.4688995215311005,-25.83732057416268,99.56937799043062
PEBBLES,PEBBLES_XL,open500,2.5,100,3,-5400.0,-31090.0,1,209,0.4688995215311005,-25.83732057416268,99.56937799043062
PEBBLES,PEBBLES_XL,open500,3.0,100,3,-5400.0,-31090.0,1,209,0.4688995215311005,-25.83732057416268,99.56937799043062
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_FLAMES,open500,2.5,500,3,-5500.0,-8680.0,1,19,0.42105263157894735,-289.4736842105263,462.9
SNACKPACK,SNACKPACK_STRAWBERRY,open500,2.5,100,3,-5750.0,-6090.0,1,46,0.45652173913043476,-125.0,96.72340425531915
SLEEP_POD,SLEEP_POD_POLYESTER,open500,2.0,100,3,-5890.0,-8550.0,1,86,0.47674418604651164,-68.48837209302326,99.05813953488372
SLEEP_POD,SLEEP_POD_POLYESTER,open500,3.0,500,3,-6360.0,-9420.0,1,10,0.5,-636.0,414.54545454545456
SNACKPACK,SNACKPACK_STRAWBERRY,open500,1.5,500,3,-8810.0,-8140.0,1,37,0.5135135135135135,-238.1081081081081,486.81081081081084
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_FLAMES,open500,2.5,200,3,-10090.0,-12240.0,1,45,0.4444444444444444,-224.22222222222223,194.17391304347825
SNACKPACK,SNACKPACK_STRAWBERRY,open500,1.5,200,3,-11690.0,-10960.0,1,80,0.525,-146.125,198.125
UV_VISOR,UV_VISOR_MAGENTA,open500,2.5,50,3,-13700.0,-14770.0,1,185,0.4702702702702703,-74.05405405405405,49.63978494623656
PEBBLES,PEBBLES_XL,open500,1.5,50,3,-15140.0,-33770.0,1,330,0.503030303030303,-45.878787878787875,49.95151515151515
PEBBLES,PEBBLES_XL,open500,2.0,50,3,-15140.0,-33770.0,1,330,0.503030303030303,-45.878787878787875,49.95151515151515
PEBBLES,PEBBLES_XL,open500,2.5,50,3,-15140.0,-33770.0,1,330,0.503030303030303,-45.878787878787875,49.95151515151515
PEBBLES,PEBBLES_XL,open500,3.0,50,3,-15140.0,-33770.0,1,330,0.503030303030303,-45.878787878787875,49.95151515151515
SNACKPACK,SNACKPACK_STRAWBERRY,open500,2.5,50,3,-16410.0,-17070.0,1,83,0.3373493975903614,-197.710843373494,49.05952380952381
UV_VISOR,UV_VISOR_MAGENTA,open500,1.5,50,3,-17200.0,-18960.0,1,342,0.4619883040935672,-50.292397660818715,49.80409356725146
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_FLAMES,open500,2.5,100,3,-17270.0,-18160.0,1,88,0.45454545454545453,-196.25,98.75280898876404
OXYGEN_SHAKE,OXYGEN_SHAKE_MINT,open500,1.5,50,3,-18950.0,-16310.0,1,282,0.4645390070921986,-67.19858156028369,50.0
UV_VISOR,UV_VISOR_MAGENTA,open500,2.0,50,3,-20760.0,-20600.0,1,242,0.41735537190082644,-85.78512396694215,49.747933884297524
SNACKPACK,SNACKPACK_STRAWBERRY,open500,2.0,50,3,-21160.0,-22170.0,1,168,0.38095238095238093,-125.95238095238095,49.767857142857146
PEBBLES,PEBBLES_XL,open500,1.5,200,3,-23560.0,-26230.0,1,123,0.43089430894308944,-191.54471544715446,197.8211382113821
PEBBLES,PEBBLES_XL,open500,2.0,200,3,-23560.0,-26230.0,1,123,0.43089430894308944,-191.54471544715446,197.8211382113821
PEBBLES,PEBBLES_XL,open500,2.5,200,3,-23560.0,-26230.0,1,123,0.43089430894308944,-191.54471544715446,197.8211382113821
PEBBLES,PEBBLES_XL,open500,3.0,200,3,-23560.0,-26230.0,1,123,0.43089430894308944,-191.54471544715446,197.8211382113821
SNACKPACK,SNACKPACK_STRAWBERRY,open500,1.5,100,3,-26330.0,-17190.0,1,148,0.38513513513513514,-177.90540540540542,99.93243243243244
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_FLAMES,open500,2.5,50,3,-27610.0,-28690.0,1,173,0.43352601156069365,-159.59537572254337,49.706896551724135
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_FLAMES,open500,1.5,50,3,-34860.0,-34010.0,1,265,0.4528301886792453,-131.54716981132074,49.76603773584905
SNACKPACK,SNACKPACK_STRAWBERRY,open500,3.0,200,3,-680.0,-680.0,0,17,0.4117647058823529,-40.0,174.26315789473685
OXYGEN_SHAKE,OXYGEN_SHAKE_MINT,open500,2.0,200,3,-1350.0,-870.0,0,64,0.5,-21.09375,196.92307692307693
UV_VISOR,UV_VISOR_MAGENTA,open500,3.0,100,3,-2920.0,-1500.0,0,66,0.4696969696969697,-44.24242424242424,97.67164179104478
SNACKPACK,SNACKPACK_STRAWBERRY,open500,3.0,100,3,-3960.0,-3960.0,0,30,0.4666666666666667,-132.0,93.3125
OXYGEN_SHAKE,OXYGEN_SHAKE_MINT,open500,2.5,100,3,-4990.0,-3810.0,0,107,0.48598130841121495,-46.63551401869159,99.07407407407408
OXYGEN_SHAKE,OXYGEN_SHAKE_MINT,open500,2.0,100,3,-5130.0,-3210.0,0,128,0.4921875,-40.078125,99.2248062015504
SNACKPACK,SNACKPACK_STRAWBERRY,open500,3.0,50,3,-6790.0,-6790.0,0,54,0.3888888888888889,-125.74074074074075,48.125
OXYGEN_SHAKE,OXYGEN_SHAKE_MINT,open500,3.0,50,3,-6800.0,-6200.0,0,135,0.4888888888888889,-50.370370370370374,49.63235294117647
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_FLAMES,open500,3.0,500,3,-6900.0,-6900.0,0,18,0.4444444444444444,-383.3333333333333,431.65
TRANSLATOR,TRANSLATOR_VOID_BLUE,open500,3.0,50,3,-7730.0,-4920.0,0,41,0.4634146341463415,-188.53658536585365,49.1219512195122
PANEL,PANEL_2X2,open500,3.0,50,3,-7950.0,-4740.0,0,282,0.48226950354609927,-28.19148936170213,49.826241134751776
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_FLAMES,open500,3.0,200,3,-8430.0,-8430.0,0,43,0.4883720930232558,-196.04651162790697,189.13333333333333
UV_VISOR,UV_VISOR_MAGENTA,open500,3.0,50,3,-12400.0,-9280.0,0,122,0.4016393442622951,-101.63934426229508,49.357723577235774
PANEL,PANEL_2X2,open500,2.0,50,3,-12620.0,-7040.0,0,401,0.4713216957605985,-31.471321695760597,49.85037406483791
OXYGEN_SHAKE,OXYGEN_SHAKE_MINT,open500,2.5,50,3,-14480.0,-7540.0,0,206,0.46601941747572817,-70.29126213592232,49.75845410628019
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_FLAMES,open500,3.0,100,3,-16630.0,-16630.0,0,84,0.4166666666666667,-197.97619047619048,97.37209302325581
PANEL,PANEL_2X2,open500,1.5,50,3,-17690.0,-10160.0,0,452,0.48451327433628316,-39.13716814159292,49.8783185840708
OXYGEN_SHAKE,OXYGEN_SHAKE_MINT,open500,2.0,50,3,-21320.0,-11580.0,0,249,0.4457831325301205,-85.62248995983936,49.8
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_FLAMES,open500,3.0,50,3,-27590.0,-27590.0,0,166,0.40963855421686746,-166.20481927710844,49.404761904761905
PEBBLES,PEBBLES_S,open500,1.5,50,3,-29730.0,-18040.0,0,330,0.48484848484848486,-90.0909090909091,49.95151515151515
PEBBLES,PEBBLES_S,open500,2.0,50,3,-29730.0,-18040.0,0,330,0.48484848484848486,-90.0909090909091,49.95151515151515
PEBBLES,PEBBLES_S,open500,2.5,50,3,-29730.0,-18040.0,0,330,0.48484848484848486,-90.0909090909091,49.95151515151515
PEBBLES,PEBBLES_S,open500,3.0,50,3,-29730.0,-18040.0,0,330,0.48484848484848486,-90.0909090909091,49.95151515151515
PEBBLES,PEBBLES_S,open500,1.5,100,3,-35090.0,-13220.0,0,209,0.44976076555023925,-167.89473684210526,99.56937799043062
PEBBLES,PEBBLES_S,open500,2.0,100,3,-35090.0,-13220.0,0,209,0.44976076555023925,-167.89473684210526,99.56937799043062
PEBBLES,PEBBLES_S,open500,2.5,100,3,-35090.0,-13220.0,0,209,0.44976076555023925,-167.89473684210526,99.56937799043062
PEBBLES,PEBBLES_S,open500,3.0,100,3,-35090.0,-13220.0,0,209,0.44976076555023925,-167.89473684210526,99.56937799043062
SNACKPACK,SNACKPACK_STRAWBERRY,open500,1.5,50,3,-47040.0,-27930.0,0,275,0.38181818181818183,-171.05454545454546,49.78909090909091
PEBBLES,PEBBLES_S,open500,1.5,500,3,-64190.0,-36970.0,0,55,0.32727272727272727,-1167.090909090909,483.07272727272726
PEBBLES,PEBBLES_S,open500,2.0,500,3,-64190.0,-36970.0,0,55,0.32727272727272727,-1167.090909090909,483.07272727272726
PEBBLES,PEBBLES_S,open500,2.5,500,3,-64190.0,-36970.0,0,55,0.32727272727272727,-1167.090909090909,483.07272727272726
PEBBLES,PEBBLES_S,open500,3.0,500,3,-64190.0,-36970.0,0,55,0.32727272727272727,-1167.090909090909,483.07272727272726
SLEEP_POD,SLEEP_POD_POLYESTER,raw,1.5,500,3,38580.0,6220.0,3,47,0.7446808510638298,820.8510638297872,485.74468085106383
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_FLAMES,raw,2.0,500,3,36400.0,4690.0,3,26,0.7692307692307693,1400.0,486.0769230769231
SLEEP_POD,SLEEP_POD_POLYESTER,raw,2.0,500,3,35000.0,6970.0,3,37,0.7297297297297297,945.9459459459459,483.27027027027026
SLEEP_POD,SLEEP_POD_POLYESTER,raw,2.5,500,3,34870.0,4340.0,3,32,0.6875,1089.6875,491.9375
MICROCHIP,MICROCHIP_RECTANGLE,raw,1.5,500,3,33740.0,10020.0,3,33,0.6060606060606061,1022.4242424242424,471.3636363636364
SLEEP_POD,SLEEP_POD_POLYESTER,raw,1.5,200,3,33380.0,1780.0,3,102,0.5882352941176471,327.2549019607843,199.11764705882354
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_FLAMES,raw,1.5,500,3,33240.0,3320.0,3,41,0.5853658536585366,810.7317073170732,493.6341463414634
SLEEP_POD,SLEEP_POD_POLYESTER,raw,2.5,200,3,32810.0,3480.0,3,69,0.5942028985507246,475.5072463768116,200.0
SLEEP_POD,SLEEP_POD_POLYESTER,raw,2.0,200,3,30200.0,7160.0,3,81,0.5925925925925926,372.8395061728395,200.0
SLEEP_POD,SLEEP_POD_POLYESTER,raw,3.0,500,3,26950.0,3810.0,3,23,0.6521739130434783,1171.7391304347825,500.0
