group,target,test_day,center_mode,threshold,horizon,pnl,trades,wins,avg_hold,sigma_train
SLEEP_POD,SLEEP_POD_POLYESTER,3,open100,3.0,500,3980.0,3,3,500.0,290.73539314170273
SLEEP_POD,SLEEP_POD_POLYESTER,3,open500,1.5,50,4260.0,91,47,50.0,290.73539314170273
SLEEP_POD,SLEEP_POD_POLYESTER,3,open500,1.5,100,6560.0,51,30,100.0,290.73539314170273
SLEEP_POD,SLEEP_POD_POLYESTER,3,open500,1.5,200,8580.0,27,15,200.0,290.73539314170273
SLEEP_POD,SLEEP_POD_POLYESTER,3,open500,1.5,500,14640.0,14,8,498.92857142857144,290.73539314170273
SLEEP_POD,SLEEP_POD_POLYESTER,3,open500,2.0,50,570.0,58,25,50.0,290.73539314170273
SLEEP_POD,SLEEP_POD_POLYESTER,3,open500,2.0,100,-50.0,31,14,100.0,290.73539314170273
SLEEP_POD,SLEEP_POD_POLYESTER,3,open500,2.0,200,5820.0,17,9,200.0,290.73539314170273
SLEEP_POD,SLEEP_POD_POLYESTER,3,open500,2.0,500,6570.0,9,6,500.0,290.73539314170273
SLEEP_POD,SLEEP_POD_POLYESTER,3,open500,2.5,50,4740.0,33,18,50.0,290.73539314170273
SLEEP_POD,SLEEP_POD_POLYESTER,3,open500,2.5,100,8390.0,20,13,100.0,290.73539314170273
SLEEP_POD,SLEEP_POD_POLYESTER,3,open500,2.5,200,12320.0,13,10,200.0,290.73539314170273
SLEEP_POD,SLEEP_POD_POLYESTER,3,open500,2.5,500,9440.0,7,5,500.0,290.73539314170273
SLEEP_POD,SLEEP_POD_POLYESTER,3,open500,3.0,50,4960.0,15,9,50.0,290.73539314170273
SLEEP_POD,SLEEP_POD_POLYESTER,3,open500,3.0,100,3580.0,9,5,100.0,290.73539314170273
SLEEP_POD,SLEEP_POD_POLYESTER,3,open500,3.0,200,4410.0,5,4,200.0,290.73539314170273
SLEEP_POD,SLEEP_POD_POLYESTER,3,open500,3.0,500,3060.0,3,3,500.0,290.73539314170273
SLEEP_POD,SLEEP_POD_POLYESTER,3,rolling200,1.5,50,0.0,0,0,0.0,290.73539314170273
SLEEP_POD,SLEEP_POD_POLYESTER,3,rolling200,1.5,100,0.0,0,0,0.0,290.73539314170273
SLEEP_POD,SLEEP_POD_POLYESTER,3,rolling200,1.5,200,0.0,0,0,0.0,290.73539314170273
SLEEP_POD,SLEEP_POD_POLYESTER,3,rolling200,1.5,500,0.0,0,0,0.0,290.73539314170273
SLEEP_POD,SLEEP_POD_POLYESTER,3,rolling200,2.0,50,0.0,0,0,0.0,290.73539314170273
SLEEP_POD,SLEEP_POD_POLYESTER,3,rolling200,2.0,100,0.0,0,0,0.0,290.73539314170273
SLEEP_POD,SLEEP_POD_POLYESTER,3,rolling200,2.0,200,0.0,0,0,0.0,290.73539314170273
SLEEP_POD,SLEEP_POD_POLYESTER,3,rolling200,2.0,500,0.0,0,0,0.0,290.73539314170273
SLEEP_POD,SLEEP_POD_POLYESTER,3,rolling200,2.5,50,0.0,0,0,0.0,290.73539314170273
SLEEP_POD,SLEEP_POD_POLYESTER,3,rolling200,2.5,100,0.0,0,0,0.0,290.73539314170273
SLEEP_POD,SLEEP_POD_POLYESTER,3,rolling200,2.5,200,0.0,0,0,0.0,290.73539314170273
