case,kind,product_under_test,day,product,pnl
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,3,TRANSLATOR_ECLIPSE_CHARCOAL,-9788
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,3,TRANSLATOR_GRAPHITE_MIST,3246
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,3,TRANSLATOR_SPACE_GRAY,0
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,3,TRANSLATOR_VOID_BLUE,6956
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,3,UV_VISOR_AMBER,-21
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,3,UV_VISOR_MAGENTA,10135
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,3,UV_VISOR_ORANGE,2516
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,3,UV_VISOR_RED,9047
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,3,UV_VISOR_YELLOW,8065
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,4,GALAXY_SOUNDS_BLACK_HOLES,-15212
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,4,GALAXY_SOUNDS_DARK_MATTER,17479
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,4,GALAXY_SOUNDS_PLANETARY_RINGS,-6442
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,4,GALAXY_SOUNDS_SOLAR_FLAMES,16360
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,4,GALAXY_SOUNDS_SOLAR_WINDS,11785
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,4,MICROCHIP_CIRCLE,11709
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,4,MICROCHIP_OVAL,1378
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,4,MICROCHIP_RECTANGLE,19251
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,4,MICROCHIP_SQUARE,8537
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,4,MICROCHIP_TRIANGLE,8533
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,4,OXYGEN_SHAKE_CHOCOLATE,5335
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,4,OXYGEN_SHAKE_EVENING_BREATH,12376
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,4,OXYGEN_SHAKE_GARLIC,8544
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,4,OXYGEN_SHAKE_MINT,0
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,4,OXYGEN_SHAKE_MORNING_BREATH,8346
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,4,PANEL_1X2,0
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,4,PANEL_1X4,9532
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,4,PANEL_2X2,1919
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,4,PANEL_2X4,6930
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,4,PANEL_4X4,0
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,4,PEBBLES_L,1635
mm_bid_off__GALAXY_SOUNDS_BLACK_HOLES,mm_bid_off,GALAXY_SOUNDS_BLACK_HOLES,4,PEBBLES_M,0
