feature_col,importance,source_product,feature
GALAXY_SOUNDS_SOLAR_FLAMES__mid_centered,12.66709,GALAXY_SOUNDS_SOLAR_FLAMES,mid_centered
MICROCHIP_CIRCLE__group_residual_z,12.665487,MICROCHIP_CIRCLE,group_residual_z
MICROCHIP_SQUARE__ret50,12.648285,MICROCHIP_SQUARE,ret50
PANEL_2X4__micro_minus_mid,12.63438,PANEL_2X4,micro_minus_mid
SNACKPACK_RASPBERRY__imbalance1,12.628128,SNACKPACK_RASPBERRY,imbalance1
GALAXY_SOUNDS_DARK_MATTER__ret50,12.620045,GALAXY_SOUNDS_DARK_MATTER,ret50
ROBOT_DISHES__ret50,12.617433,ROBOT_DISHES,ret50
SLEEP_POD_LAMB_WOOL__group_mid_rank,12.6115265,SLEEP_POD_LAMB_WOOL,group_mid_rank
OXYGEN_SHAKE_MINT__ret50,12.6109495,OXYGEN_SHAKE_MINT,ret50
PEBBLES_XL__mid_centered,12.603684,PEBBLES_XL,mid_centered
UV_VISOR_MAGENTA__group_residual_z,12.601232,UV_VISOR_MAGENTA,group_residual_z
TRANSLATOR_ECLIPSE_CHARCOAL__imbalance3,12.588586,TRANSLATOR_ECLIPSE_CHARCOAL,imbalance3
GALAXY_SOUNDS_DARK_MATTER__micro_minus_mid,12.584316,GALAXY_SOUNDS_DARK_MATTER,micro_minus_mid
UV_VISOR_ORANGE__group_residual_z,12.580137,UV_VISOR_ORANGE,group_residual_z
OXYGEN_SHAKE_MINT__group_mid_rank,12.566191,OXYGEN_SHAKE_MINT,group_mid_rank
OXYGEN_SHAKE_MORNING_BREATH__spread,12.560584,OXYGEN_SHAKE_MORNING_BREATH,spread
OXYGEN_SHAKE_EVENING_BREATH__imbalance1,12.560386,OXYGEN_SHAKE_EVENING_BREATH,imbalance1
PANEL_4X4__ret50,12.558937,PANEL_4X4,ret50
ROBOT_DISHES__group_mid_rank,12.55694,ROBOT_DISHES,group_mid_rank
SLEEP_POD_COTTON__imbalance3,12.551329,SLEEP_POD_COTTON,imbalance3
SLEEP_POD_POLYESTER__imbalance1,12.5363655,SLEEP_POD_POLYESTER,imbalance1
ROBOT_IRONING__group_mid_rank,12.533738,ROBOT_IRONING,group_mid_rank
MICROCHIP_CIRCLE__ret50,12.532137,MICROCHIP_CIRCLE,ret50
