split,feature_col,importance,source_product,feature
d23_to_d4,TRANSLATOR_ASTRO_BLACK__ret50,0.0002057770265415899,TRANSLATOR_ASTRO_BLACK,ret50
d23_to_d4,UV_VISOR_YELLOW__ret50,0.00020120731231723621,UV_VISOR_YELLOW,ret50
d23_to_d4,UV_VISOR_MAGENTA__ret50,0.00020027853677732812,UV_VISOR_MAGENTA,ret50
d23_to_d4,GALAXY_SOUNDS_DARK_MATTER__ret50,0.0001931670054019486,GALAXY_SOUNDS_DARK_MATTER,ret50
d23_to_d4,PEBBLES_S__ret50,0.00018956983302339918,PEBBLES_S,ret50
d23_to_d4,MICROCHIP_TRIANGLE__ret50,0.00018800252769234018,MICROCHIP_TRIANGLE,ret50
d23_to_d4,PEBBLES_M__ret50,0.00018771887445516002,PEBBLES_M,ret50
d23_to_d4,ROBOT_VACUUMING__ret50,0.0001867136465289707,ROBOT_VACUUMING,ret50
d23_to_d4,MICROCHIP_SQUARE__group_mid_rank,0.0001858251847622774,MICROCHIP_SQUARE,group_mid_rank
d23_to_d4,PEBBLES_XL__ret50,0.00018581942817526555,PEBBLES_XL,ret50
d23_to_d4,GALAXY_SOUNDS_BLACK_HOLES__ret50,0.00017403371308782458,GALAXY_SOUNDS_BLACK_HOLES,ret50
d23_to_d4,OXYGEN_SHAKE_MORNING_BREATH__ret50,0.0001712098121776978,OXYGEN_SHAKE_MORNING_BREATH,ret50
d23_to_d4,PANEL_1X4__ret50,0.00017077927177106615,PANEL_1X4,ret50
d23_to_d4,SNACKPACK_STRAWBERRY__ret50,0.00016126686901245347,SNACKPACK_STRAWBERRY,ret50
d23_to_d4,PEBBLES_XS__ret50,0.0001610452300615275,PEBBLES_XS,ret50
d23_to_d4,GALAXY_SOUNDS_PLANETARY_RINGS__ret50,0.0001544865612191859,GALAXY_SOUNDS_PLANETARY_RINGS,ret50
d23_to_d4,TRANSLATOR_VOID_BLUE__ret50,0.00015286075248165308,TRANSLATOR_VOID_BLUE,ret50
d23_to_d4,TRANSLATOR_GRAPHITE_MIST__ret50,0.00015210307944021266,TRANSLATOR_GRAPHITE_MIST,ret50
d23_to_d4,SNACKPACK_CHOCOLATE__ret50,0.00014236453314279835,SNACKPACK_CHOCOLATE,ret50
d23_to_d4,SNACKPACK_RASPBERRY__ret50,0.00013604497641787005,SNACKPACK_RASPBERRY,ret50
d23_to_d4,SLEEP_POD_COTTON__ret50,0.00013433282955944563,SLEEP_POD_COTTON,ret50
d23_to_d4,UV_VISOR_AMBER__ret50,0.00013415606887633597,UV_VISOR_AMBER,ret50
d23_to_d4,ROBOT_MOPPING__ret50,0.00012289448693274713,ROBOT_MOPPING,ret50
d23_to_d4,MICROCHIP_RECTANGLE__ret50,0.00012051525050464853,MICROCHIP_RECTANGLE,ret50
d23_to_d4,UV_VISOR_ORANGE__ret50,0.00010301907351640744,UV_VISOR_ORANGE,ret50
d23_to_d4,UV_VISOR_AMBER__group_mid_rank,9.832426909461396e-05,UV_VISOR_AMBER,group_mid_rank
d23_to_d4,GALAXY_SOUNDS_SOLAR_WINDS__ret50,8.186521436468402e-05,GALAXY_SOUNDS_SOLAR_WINDS,ret50
d23_to_d4,PANEL_1X2__spread,5.32161364551077e-05,PANEL_1X2,spread
d23_to_d4,SLEEP_POD_COTTON__spread,4.649757315536838e-05,SLEEP_POD_COTTON,spread
d23_to_d4,OXYGEN_SHAKE_EVENING_BREATH__spread,3.4297480232765406e-05,OXYGEN_SHAKE_EVENING_BREATH,spread
d23_to_d4,MICROCHIP_CIRCLE__spread,1.2536873390625247e-05,MICROCHIP_CIRCLE,spread
d23_to_d4,UV_VISOR_MAGENTA__ret10,9.192370771704993e-06,UV_VISOR_MAGENTA,ret10
d23_to_d4,TRANSLATOR_SPACE_GRAY__ret10,8.994495519789035e-06,TRANSLATOR_SPACE_GRAY,ret10
d23_to_d4,TRANSLATOR_VOID_BLUE__ret10,8.83566062935775e-06,TRANSLATOR_VOID_BLUE,ret10
d23_to_d4,SNACKPACK_STRAWBERRY__ret10,8.735442383502077e-06,SNACKPACK_STRAWBERRY,ret10
d23_to_d4,PANEL_4X4__ret10,7.700501453002945e-06,PANEL_4X4,ret10
d23_to_d4,PANEL_1X2__ret10,6.881679002423552e-06,PANEL_1X2,ret10
d23_to_d4,SNACKPACK_CHOCOLATE__ret10,6.8200141344918785e-06,SNACKPACK_CHOCOLATE,ret10
d23_to_d4,GALAXY_SOUNDS_PLANETARY_RINGS__ret10,4.989572134712006e-06,GALAXY_SOUNDS_PLANETARY_RINGS,ret10
d23_to_d4,PEBBLES_XL__ret10,4.580214370490662e-06,PEBBLES_XL,ret10
d23_to_d4,SNACKPACK_VANILLA__ret10,4.5762678898953354e-06,SNACKPACK_VANILLA,ret10
d23_to_d4,ROBOT_LAUNDRY__ret10,3.70880795470393e-06,ROBOT_LAUNDRY,ret10
d23_to_d4,PANEL_2X2__ret10,3.5678549707713883e-06,PANEL_2X2,ret10
d23_to_d4,PEBBLES_S__ret10,3.406327004000606e-06,PEBBLES_S,ret10
d23_to_d4,GALAXY_SOUNDS_DARK_MATTER__ret10,3.228119851438327e-06,GALAXY_SOUNDS_DARK_MATTER,ret10
d23_to_d4,PANEL_2X4__ret10,2.820236658919119e-06,PANEL_2X4,ret10
d23_to_d4,GALAXY_SOUNDS_SOLAR_FLAMES__ret10,2.756890032178642e-06,GALAXY_SOUNDS_SOLAR_FLAMES,ret10
d23_to_d4,SLEEP_POD_NYLON__ret10,2.724636413732409e-06,SLEEP_POD_NYLON,ret10
d23_to_d4,MICROCHIP_RECTANGLE__ret10,2.654033260963745e-06,MICROCHIP_RECTANGLE,ret10
d23_to_d4,PEBBLES_M__ret10,2.4733871410344736e-06,PEBBLES_M,ret10
d23_to_d4,OXYGEN_SHAKE_MORNING_BREATH__ret10,2.4535508441942743e-06,OXYGEN_SHAKE_MORNING_BREATH,ret10
d23_to_d4,OXYGEN_SHAKE_EVENING_BREATH__ret10,2.3254957730367784e-06,OXYGEN_SHAKE_EVENING_BREATH,ret10
d23_to_d4,TRANSLATOR_GRAPHITE_MIST__ret10,2.1406679211989978e-06,TRANSLATOR_GRAPHITE_MIST,ret10
