split,product,group,side,horizon,corr,top5_count,top5_edge,top5_win,top5_pred,all_edge,rank_score
d2_to_d3,SLEEP_POD_NYLON,SLEEP,short,1000,0.5523904413221375,41,123.48780822753906,0.8780487804878049,272.4579772949219,-83.10710144042969,108.4283194193026
d2_to_d3,MICROCHIP_OVAL,MICROCHIP,short,200,0.17242920647813997,41,135.7073211669922,0.7804878048780488,47.43873977661133,28.567991256713867,105.9179092035061
d2_to_d3,ROBOT_MOPPING,ROBOT,long,500,0.04663801615909904,41,158.9512176513672,0.6585365853658537,11.9539213180542,103.31768798828125,104.67519211187596
d2_to_d3,TRANSLATOR_ECLIPSE_CHARCOAL,TRANSLATOR,short,1000,0.3736979304472861,41,142.5853729248047,0.7317073170731707,14.762398719787598,53.247894287109375,104.33076067668635
d2_to_d3,OXYGEN_SHAKE_GARLIC,OXYGEN,long,500,0.20727892750272067,41,142.19512939453125,0.7317073170731707,290.0977478027344,-7.623345375061035,104.04521663014482
d2_to_d3,OXYGEN_SHAKE_EVENING_BREATH,OXYGEN,long,500,0.3095601568516478,41,144.9268341064453,0.7073170731707317,-101.58912658691406,35.71359634399414,102.50922412407107
d2_to_d3,SLEEP_POD_COTTON,SLEEP,short,1000,0.20077489761928485,41,148.43902587890625,0.6829268292682927,12.306815147399902,-99.79903411865234,101.3729932831555
d2_to_d3,UV_VISOR_AMBER,UV,short,200,0.3122539908306586,41,109.1219482421875,0.9024390243902439,52.71782684326172,9.275571823120117,98.47590451124238
d2_to_d3,PEBBLES_XS,PEBBLES,short,500,0.2640081897692354,41,138.7073211669922,0.7073170731707317,260.7645263671875,52.61251449584961,98.11005643518959
d2_to_d3,UV_VISOR_RED,UV,long,500,0.23607420834685788,41,114.46341705322266,0.8536585365853658,97.06173706054688,13.476533889770508,97.71267309421447
d2_to_d3,MICROCHIP_TRIANGLE,MICROCHIP,short,200,0.16199197340208576,41,125.80487823486328,0.7560975609756098,15.219301223754883,17.277978897094727,95.1207615922137
d2_to_d3,SNACKPACK_VANILLA,SNACKPACK,long,1000,0.37659135502552726,41,117.43902587890625,0.8048780487804879,113.59994506835938,8.394704818725586,94.52409400009527
d2_to_d3,PANEL_1X4,PANEL,short,200,0.17394432046694222,41,112.21951293945312,0.8292682926829268,-25.179365158081055,37.88086700439453,93.0600839010099
