split,product,group,side,horizon,corr,top5_pred_mean_edge,top5_win,top5_count,all_mean_edge,rank_score
gru_d23_to_d4,TRANSLATOR_ASTRO_BLACK,TRANSLATOR,short,10,0.012581469766671908,-7.267260551452637,0.4142538975501114,449,-7.930631160736084,-3.0104910079514267
gru_d23_to_d4,SLEEP_POD_SUEDE,SLEEP,short,10,-0.02925125024679338,-8.478841781616211,0.39420935412026725,449,-10.307204246520996,-3.3424387424188624
gru_d23_to_d4,TRANSLATOR_VOID_BLUE,TRANSLATOR,short,100,0.026276545640622657,-7.4832963943481445,0.44766146993318484,449,-16.442489624023438,-3.3499834638395924
gru_d23_to_d4,SLEEP_POD_COTTON,SLEEP,long,10,0.05126932589652312,-8.29621410369873,0.41648106904231624,449,-11.546486854553223,-3.455216118912389
gru_d23_to_d4,PEBBLES_XS,PEBBLES,long,10,0.006854456004631996,-8.053452491760254,0.4365256124721604,449,-8.863489151000977,-3.5155382814810907
gru_d23_to_d4,TRANSLATOR_GRAPHITE_MIST,TRANSLATOR,short,50,0.007959446979690475,-7.298440933227539,0.48775055679287305,449,-2.1785993576049805,-3.559818628901628
gru_d23_to_d4,UV_VISOR_RED,UV,short,50,-0.009296401801231301,-8.184855461120605,0.43875278396436523,449,-18.777530670166016,-3.591128119912604
gru_d23_to_d4,SLEEP_POD_NYLON,SLEEP,short,100,0.07004905126798507,-7.209353923797607,0.5144766146993318,449,-18.328916549682617,-3.7090440008847376
gru_d23_to_d4,PANEL_2X4,PANEL,long,10,0.01894499235465055,-10.249443054199219,0.36971046770601335,449,-9.32991886138916,-3.7893263852941432
gru_d23_to_d4,SNACKPACK_PISTACHIO,SNACKPACK,short,50,0.10143189304993187,-11.701559066772461,0.3273942093541203,449,-14.097650527954102,-3.8310226788765074
gru_d23_to_d4,OXYGEN_SHAKE_GARLIC,OXYGEN,short,50,-0.0072988499426550136,-10.556793212890625,0.37639198218262804,449,-26.029953002929688,-3.973492322892017
gru_d23_to_d4,UV_VISOR_RED,UV,long,10,0.011377355899050645,-10.436525344848633,0.3830734966592428,449,-14.096537590026855,-3.9979562568239753
gru_d23_to_d4,ROBOT_IRONING,ROBOT,long,50,-0.004822875328434123,-12.244988441467285,0.34743875278396436,449,-5.298964500427246,-4.254383511957453
gru_d23_to_d4,OXYGEN_SHAKE_MORNING_BREATH,OXYGEN,long,50,0.019093184735755383,-11.193763732910156,0.38752783964365256,449,-12.940207481384277,-4.337895076896141
gru_d23_to_d4,UV_VISOR_MAGENTA,UV,short,10,0.03669240072078072,-12.75278377532959,0.34075723830734966,449,-14.913372993469238,-4.345603380012087
gru_d23_to_d4,OXYGEN_SHAKE_CHOCOLATE,OXYGEN,long,100,-0.0439363799310782,-8.309576988220215,0.5389755011135857,449,1.9367554187774658,-4.478658421267911
gru_d23_to_d4,OXYGEN_SHAKE_CHOCOLATE,OXYGEN,short,10,-0.05773190705953755,-16.90200424194336,0.2650334075723831,449,-14.181049346923828,-4.479595779045122
gru_d23_to_d4,SLEEP_POD_SUEDE,SLEEP,long,100,-0.026269962032541103,-8.34521198272705,0.5434298440979956,449,-11.819952964782715,-4.535037246738086
gru_d23_to_d4,OXYGEN_SHAKE_GARLIC,OXYGEN,long,10,0.0004575381702207706,-11.131402969360352,0.41202672605790647,449,-14.175704002380371,-4.586435521896804
gru_d23_to_d4,GALAXY_SOUNDS_SOLAR_WINDS,GALAXY,short,10,0.0011101496722103752,-14.772828102111816,0.311804008908686,449,-13.715398788452148,-4.606227025157359
gru_d23_to_d4,TRANSLATOR_GRAPHITE_MIST,TRANSLATOR,long,10,0.0051650207596645155,-13.180400848388672,0.37639198218262804,449,-10.66529369354248,-4.960997201286604
gru_d23_to_d4,GALAXY_SOUNDS_BLACK_HOLES,GALAXY,long,10,0.016500804702927998,-12.50556755065918,0.40311804008908686,449,-13.74880313873291,-5.041219881223411
gru_d23_to_d4,PEBBLES_S,PEBBLES,short,10,-0.040004641930944995,-12.62806224822998,0.42761692650334077,449,-8.509631156921387,-5.399973166280971
gru_d23_to_d4,MICROCHIP_OVAL,MICROCHIP,short,50,-0.00979433651328602,-14.195991516113281,0.4053452115812918,449,3.5455963611602783,-5.754277184705161
gru_d23_to_d4,SLEEP_POD_COTTON,SLEEP,short,50,0.01738655985090372,-13.750556945800781,0.41870824053452116,449,-7.668188571929932,-5.757471505145984
gru_d23_to_d4,SNACKPACK_STRAWBERRY,SNACKPACK,long,50,0.07469323538877995,-21.300668716430664,0.3051224944320713,449,-18.192628860473633,-6.49931317182851
gru_d23_to_d4,UV_VISOR_MAGENTA,UV,long,100,-0.021299153695131082,-15.30734920501709,0.46770601336302897,449,-11.002338409423828,-7.159339271834274
gru_d23_to_d4,PANEL_1X4,PANEL,long,100,-0.0689026840394396,-19.844097137451172,0.39420935412026725,449,-7.551942825317383,-7.8227287156544705
gru_d23_to_d4,OXYGEN_SHAKE_MORNING_BREATH,OXYGEN,short,100,-0.0457545523500021,-22.280624389648438,0.35634743875278396,449,-10.317782402038574,-7.939643435064031
gru_d23_to_d4,PEBBLES_L,PEBBLES,long,50,-0.01838414959890041,-20.819599151611328,0.3897550111358575,449,-22.214786529541016,-8.114543099180363
gru_d23_to_d4,SNACKPACK_STRAWBERRY,SNACKPACK,short,100,0.06827867625216122,-24.710468292236328,0.33853006681514475,449,-18.934194564819336,-8.36523648200428
gru_d23_to_d4,ROBOT_MOPPING,ROBOT,long,100,-0.001928434201553688,-22.85746192932129,0.39643652561247217,449,-17.31087875366211,-9.061532791579486
gru_d23_to_d4,GALAXY_SOUNDS_BLACK_HOLES,GALAXY,short,500,-0.020109107119946127,-18.171491622924805,0.5144766146993318,449,-124.46442413330078,-9.34880749419962
gru_d23_to_d4,MICROCHIP_SQUARE,MICROCHIP,long,50,0.060757794086997566,-24.83741569519043,0.3897550111358575,449,-22.09943199157715,-9.680507230864867
gru_d23_to_d4,ROBOT_IRONING,ROBOT,short,1000,-0.2274573238666627,-21.111358642578125,0.46547884187082406,449,7.708607196807861,-9.826890771266878
gru_d23_to_d4,MICROCHIP_OVAL,MICROCHIP,long,200,0.028461056151777648,-25.434297561645508,0.4053452115812918,449,-43.5600700378418,-10.309670726546733
gru_d23_to_d4,GALAXY_SOUNDS_BLACK_HOLES,GALAXY,short,50,-0.010479155091736084,-29.476613998413086,0.37861915367483295,449,-25.339048385620117,-11.160410645278896
gru_d23_to_d4,MICROCHIP_SQUARE,MICROCHIP,short,100,0.05968345090711342,-30.659242630004883,0.37861915367483295,449,5.488698482513428,-11.608176496883809
gru_d23_to_d4,TRANSLATOR_GRAPHITE_MIST,TRANSLATOR,long,200,0.10833229860791734,-34.63697052001953,0.3363028953229399,449,-36.213226318359375,-11.648513471097884
