product,kind,window,threshold,horizon,day,pnl,trades,wins,win_pct,avg_round_trip_pnl,entry_z_abs
PEBBLES_L,group_vol,1000,3.0,500,4,-550.0,5,4,0.8,61550.0,
MICROCHIP_TRIANGLE,group_equal,1000,2.0,500,2,12095.0,14,5,0.35714285714285715,-30066.0,
MICROCHIP_TRIANGLE,group_equal,1000,2.0,500,3,4853.0,14,8,0.5714285714285714,13596.5,
MICROCHIP_TRIANGLE,group_equal,1000,2.0,500,4,13259.0,17,10,0.5882352941176471,13930.0,
GALAXY_SOUNDS_SOLAR_WINDS,product_rolling,1000,3.0,200,2,-3060.0,6,3,0.5,-2186.6666666666665,
GALAXY_SOUNDS_SOLAR_WINDS,product_rolling,1000,3.0,200,3,2310.0,4,1,0.25,-52240.0,
GALAXY_SOUNDS_SOLAR_WINDS,product_rolling,1000,3.0,200,4,-1790.0,3,2,0.6666666666666666,33466.666666666664,3.0054947574027926
PEBBLES_L,group_vol,1000,2.5,500,2,-2878.0,7,3,0.42857142857142855,-18655.428571428572,
PEBBLES_L,group_vol,1000,2.5,500,3,-4470.0,10,5,0.5,-2448.0,
PEBBLES_L,group_vol,1000,2.5,500,4,6520.0,13,8,0.6153846153846154,22561.53846153846,
MICROCHIP_SQUARE,group_equal,500,3.0,100,2,1875.0,12,2,0.16666666666666666,-73692.25,
MICROCHIP_SQUARE,group_equal,500,3.0,100,3,403.0,8,1,0.125,-108180.25,
MICROCHIP_SQUARE,group_equal,500,3.0,100,4,15522.0,15,8,0.5333333333333333,7922.866666666667,
MICROCHIP_TRIANGLE,product_rolling,500,2.0,500,2,-15492.0,23,10,0.43478260869565216,-14663.826086956522,2.245284665100814
MICROCHIP_TRIANGLE,product_rolling,500,2.0,500,3,-17038.0,24,16,0.6666666666666666,32536.916666666668,2.008090787732536
MICROCHIP_TRIANGLE,product_rolling,500,2.0,500,4,13478.0,29,15,0.5172413793103449,2071.206896551724,
MICROCHIP_TRIANGLE,group_vol,500,1.0,500,2,-2709.0,48,22,0.4583333333333333,-8875.604166666666,
MICROCHIP_TRIANGLE,group_vol,500,1.0,500,3,-18784.0,40,24,0.6,19251.6,1.9380506068966143
MICROCHIP_TRIANGLE,group_vol,500,1.0,500,4,14814.0,57,31,0.543859649122807,6790.333333333333,1.14468162897874
MICROCHIP_TRIANGLE,group_regression_open500,500,2.0,500,2,-6178.0,25,9,0.36,-29644.16,2.221833058489195
MICROCHIP_TRIANGLE,group_regression_open500,500,2.0,500,3,-11373.0,22,10,0.45454545454545453,-10244.863636363636,
MICROCHIP_TRIANGLE,group_regression_open500,500,2.0,500,4,11643.0,21,12,0.5714285714285714,11508.761904761905,2.233727355702149
PEBBLES_XL,product_rolling,200,1.5,500,2,-12425.0,72,34,0.4722222222222222,-7601.111111111111,
PEBBLES_XL,product_rolling,200,1.5,500,3,62070.0,86,42,0.4883720930232558,-3495.8953488372094,1.5488874925014626
PEBBLES_XL,product_rolling,200,1.5,500,4,68133.0,101,43,0.42574257425742573,-22077.821782178216,1.8290784497199217
PEBBLES_XL,group_equal,200,1.5,500,2,-12425.0,72,34,0.4722222222222222,-7601.111111111111,
PEBBLES_XL,group_equal,200,1.5,500,3,62070.0,86,42,0.4883720930232558,-3495.8953488372094,1.5500136532524342
PEBBLES_XL,group_equal,200,1.5,500,4,66430.0,100,43,0.43,-20914.8,1.8297135672317075
MICROCHIP_TRIANGLE,group_regression_open500,1000,3.0,500,2,5956.0,6,4,0.6666666666666666,32589.333333333332,3.0101316644298275
MICROCHIP_TRIANGLE,group_regression_open500,1000,3.0,500,3,-13240.0,5,2,0.4,-22275.6,
MICROCHIP_TRIANGLE,group_regression_open500,1000,3.0,500,4,5062.0,5,3,0.6,15438.2,3.0005626390869806
PEBBLES_XL,group_vol,200,1.5,500,2,-12525.0,72,34,0.4722222222222222,-7601.111111111111,
PEBBLES_XL,group_vol,200,1.5,500,3,60070.0,85,41,0.4823529411764706,-5157.376470588235,1.5494230313819737
PEBBLES_XL,group_vol,200,1.5,500,4,66470.0,100,43,0.43,-21090.4,1.8275991774661045
PEBBLES_S,group_vol,1000,2.0,500,2,1240.0,11,6,0.5454545454545454,7047.272727272727,2.1346147045708586
PEBBLES_S,group_vol,1000,2.0,500,3,10975.0,17,10,0.5882352941176471,15282.058823529413,
PEBBLES_S,group_vol,1000,2.0,500,4,-1844.0,12,7,0.5833333333333334,11438.0,
GALAXY_SOUNDS_DARK_MATTER,group_regression_open500,1000,2.5,500,2,9550.0,10,5,0.5,-391.0,
GALAXY_SOUNDS_DARK_MATTER,group_regression_open500,1000,2.5,500,3,7230.0,10,6,0.6,20577.0,2.5731830233978243
GALAXY_SOUNDS_DARK_MATTER,group_regression_open500,1000,2.5,500,4,340.0,9,5,0.5555555555555556,9776.666666666666,2.6135316548684404
MICROCHIP_TRIANGLE,group_vol,1000,3.0,500,2,3708.0,5,1,0.2,-61902.6,
MICROCHIP_TRIANGLE,group_vol,1000,3.0,500,3,1044.0,4,2,0.5,-2393.5,
MICROCHIP_TRIANGLE,group_vol,1000,3.0,500,4,6986.0,5,2,0.4,-19586.6,
TRANSLATOR_ECLIPSE_CHARCOAL,group_equal,500,3.0,500,2,-2507.0,9,4,0.4444444444444444,-10195.333333333334,
TRANSLATOR_ECLIPSE_CHARCOAL,group_equal,500,3.0,500,3,2879.0,9,6,0.6666666666666666,31591.777777777777,
TRANSLATOR_ECLIPSE_CHARCOAL,group_equal,500,3.0,500,4,6257.0,11,6,0.5454545454545454,8587.09090909091,
TRANSLATOR_ECLIPSE_CHARCOAL,group_vol,500,3.0,500,2,-2507.0,9,4,0.4444444444444444,-10195.333333333334,
TRANSLATOR_ECLIPSE_CHARCOAL,group_vol,500,3.0,500,3,-43.0,10,6,0.6,18399.6,
TRANSLATOR_ECLIPSE_CHARCOAL,group_vol,500,3.0,500,4,5764.0,11,6,0.5454545454545454,8561.90909090909,
PEBBLES_XL,product_rolling,100,3.0,200,2,6480.0,41,17,0.4146341463414634,-20304.878048780487,
PEBBLES_XL,product_rolling,100,3.0,200,3,21415.0,40,20,0.5,-546.75,
PEBBLES_XL,product_rolling,100,3.0,200,4,19600.0,36,12,0.3333333333333333,-53079.444444444445,
PEBBLES_S,group_vol,500,2.0,500,2,-13750.0,22,9,0.4090909090909091,-18469.090909090908,2.5066332761091257
PEBBLES_S,group_vol,500,2.0,500,3,22874.0,34,16,0.47058823529411764,-5786.176470588235,2.026613333521881
PEBBLES_S,group_vol,500,2.0,500,4,6484.0,24,13,0.5416666666666666,7002.666666666667,
MICROCHIP_TRIANGLE,group_equal,500,1.0,500,2,-3176.0,50,23,0.46,-8653.4,
MICROCHIP_TRIANGLE,group_equal,500,1.0,500,3,-24600.0,37,22,0.5945945945945946,17802.243243243243,1.8820903088577776
MICROCHIP_TRIANGLE,group_equal,500,1.0,500,4,11413.0,52,30,0.5769230769230769,12770.538461538461,
PEBBLES_L,product_rolling,500,2.5,500,2,-680.0,15,8,0.5333333333333333,4806.0,
PEBBLES_L,product_rolling,500,2.5,500,3,9086.0,20,10,0.5,-1596.7,
PEBBLES_L,product_rolling,500,2.5,500,4,7020.0,20,11,0.55,8757.5,
MICROCHIP_SQUARE,group_vol,500,3.0,100,2,2844.0,12,2,0.16666666666666666,-73733.33333333333,
MICROCHIP_SQUARE,group_vol,500,3.0,100,3,-647.0,7,1,0.14285714285714285,-104177.57142857143,
MICROCHIP_SQUARE,group_vol,500,3.0,100,4,18638.0,15,8,0.5333333333333333,8046.0,
MICROCHIP_TRIANGLE,product_rolling,500,2.5,500,2,-2818.0,18,6,0.3333333333333333,-35600.77777777778,2.5006478840936173
MICROCHIP_TRIANGLE,product_rolling,500,2.5,500,3,-6474.0,15,10,0.6666666666666666,32404.4,2.740979032397045
MICROCHIP_TRIANGLE,product_rolling,500,2.5,500,4,10845.0,20,11,0.55,7418.1,
TRANSLATOR_ECLIPSE_CHARCOAL,group_regression_open500,500,3.0,500,2,5394.0,7,5,0.7142857142857143,42430.0,3.0322777346728778
TRANSLATOR_ECLIPSE_CHARCOAL,group_regression_open500,500,3.0,500,3,-3225.0,7,4,0.5714285714285714,12025.142857142857,
TRANSLATOR_ECLIPSE_CHARCOAL,group_regression_open500,500,3.0,500,4,3075.0,9,4,0.4444444444444444,-10432.777777777777,3.100318778573447
MICROCHIP_TRIANGLE,group_vol,500,1.5,500,2,560.0,35,14,0.4,-20844.342857142856,
MICROCHIP_TRIANGLE,group_vol,500,1.5,500,3,-17891.0,29,16,0.5517241379310345,8866.51724137931,1.5470630043065627
MICROCHIP_TRIANGLE,group_vol,500,1.5,500,4,12764.0,36,18,0.5,-967.4166666666666,
MICROCHIP_RECTANGLE,group_equal,500,3.0,500,2,9499.0,9,3,0.3333333333333333,-33001.11111111111,
MICROCHIP_RECTANGLE,group_equal,500,3.0,500,3,5835.0,11,6,0.5454545454545454,10418.727272727272,
MICROCHIP_RECTANGLE,group_equal,500,3.0,500,4,-9015.0,10,4,0.4,-18851.2,3.0793441652955575
SLEEP_POD_POLYESTER,group_regression_open500,500,3.0,200,2,3282.0,12,4,0.3333333333333333,-37135.916666666664,
SLEEP_POD_POLYESTER,group_regression_open500,500,3.0,200,3,1870.0,9,4,0.4444444444444444,-13791.888888888889,3.0631738284379146
SLEEP_POD_POLYESTER,group_regression_open500,500,3.0,200,4,2502.0,7,3,0.42857142857142855,-17996.428571428572,
PANEL_2X2,group_vol,1000,3.0,500,2,7744.0,4,0,0.0,-98005.75,
PANEL_2X2,group_vol,1000,3.0,500,3,5770.0,7,3,0.42857142857142855,-17353.0,3.3009154503490272
PANEL_2X2,group_vol,1000,3.0,500,4,2046.0,5,2,0.4,-18886.2,
TRANSLATOR_ECLIPSE_CHARCOAL,group_regression_open500,1000,3.0,200,2,3062.0,5,3,0.6,16865.6,
TRANSLATOR_ECLIPSE_CHARCOAL,group_regression_open500,1000,3.0,200,3,2285.0,5,3,0.6,19115.2,
TRANSLATOR_ECLIPSE_CHARCOAL,group_regression_open500,1000,3.0,200,4,405.0,4,3,0.75,48621.75,
PEBBLES_XL,product_rolling,200,2.0,500,2,-11315.0,55,28,0.509090909090909,156.72727272727272,
PEBBLES_XL,product_rolling,200,2.0,500,3,52426.0,61,31,0.5081967213114754,1632.622950819672,2.0821906207679115
PEBBLES_XL,product_rolling,200,2.0,500,4,57340.0,70,27,0.38571428571428573,-34987.142857142855,2.1247769297513974
MICROCHIP_SQUARE,group_regression_open500,1000,2.5,100,2,1451.0,18,8,0.4444444444444444,-15381.0,2.505395454973929
MICROCHIP_SQUARE,group_regression_open500,1000,2.5,100,3,13728.0,15,6,0.4,-30771.2,
MICROCHIP_SQUARE,group_regression_open500,1000,2.5,100,4,7719.0,18,11,0.6111111111111112,28184.555555555555,
PANEL_2X2,group_equal,1000,3.0,500,2,7550.0,4,0,0.0,-98054.25,
PANEL_2X2,group_equal,1000,3.0,500,3,5963.0,7,3,0.42857142857142855,-17352.85714285714,3.240342057615997
PANEL_2X2,group_equal,1000,3.0,500,4,2906.0,6,2,0.3333333333333333,-30305.5,
SLEEP_POD_LAMB_WOOL,group_vol,500,3.0,500,2,-6889.0,10,3,0.3,-44426.3,
SLEEP_POD_LAMB_WOOL,group_vol,500,3.0,500,3,2250.0,9,6,0.6666666666666666,32665.333333333332,
SLEEP_POD_LAMB_WOOL,group_vol,500,3.0,500,4,7600.0,13,5,0.38461538461538464,-26878.53846153846,
PANEL_2X4,group_equal,1000,2.5,500,2,42.0,5,2,0.4,-21422.6,
PANEL_2X4,group_equal,1000,2.5,500,3,3419.0,8,2,0.25,-54055.375,
PANEL_2X4,group_equal,1000,2.5,500,4,-7720.0,10,3,0.3,-50235.6,
MICROCHIP_TRIANGLE,product_rolling,500,1.0,500,2,-14493.0,42,13,0.30952380952380953,-40020.380952380954,1.936010068534846
