product,group,kind,window,threshold,horizon,total_pnl,min_day_pnl,day2,day3,day4,trades,positive_days,avg_win_pct
SLEEP_POD_NYLON,SLEEP_POD,product_rolling,1000,2.0,500,12413.0,1495.0,7065.0,3853.0,1495.0,48,3,0.5079365079365079
ROBOT_LAUNDRY,ROBOT,group_regression_open500,500,1.5,500,17187.0,1477.0,10977.0,4733.0,1477.0,107,3,0.4933933933933934
MICROCHIP_SQUARE,MICROCHIP,group_regression_open500,1000,2.5,100,22898.0,1451.0,1451.0,13728.0,7719.0,51,3,0.4851851851851852
TRANSLATOR_GRAPHITE_MIST,TRANSLATOR,group_equal,1000,2.5,100,10300.0,1448.0,5954.0,1448.0,2898.0,45,3,0.4901960784313726
PANEL_2X4,PANEL,group_equal,1000,3.0,500,9346.0,1399.0,3731.0,1399.0,4216.0,13,3,0.3333333333333333
MICROCHIP_TRIANGLE,MICROCHIP,group_vol,1000,3.0,500,11738.0,1044.0,3708.0,1044.0,6986.0,14,3,0.3666666666666667
PANEL_2X4,PANEL,group_vol,1000,3.0,500,7812.0,909.0,3851.0,909.0,3052.0,12,3,0.3444444444444444
SLEEP_POD_NYLON,SLEEP_POD,product_rolling,500,3.0,500,7249.0,891.0,3853.0,2505.0,891.0,19,3,0.44642857142857145
ROBOT_LAUNDRY,ROBOT,group_regression_open500,1000,2.5,500,13130.0,876.0,876.0,3672.0,8582.0,33,3,0.45384615384615384
ROBOT_LAUNDRY,ROBOT,group_regression_open500,500,2.5,500,12904.0,799.0,799.0,5800.0,6305.0,50,3,0.4594771241830065
OXYGEN_SHAKE_MINT,OXYGEN_SHAKE,product_rolling,1000,3.0,200,5786.0,410.0,4290.0,1086.0,410.0,14,3,0.3611111111111111
TRANSLATOR_ECLIPSE_CHARCOAL,TRANSLATOR,group_regression_open500,1000,3.0,200,5752.0,405.0,3062.0,2285.0,405.0,14,3,0.65
MICROCHIP_SQUARE,MICROCHIP,group_equal,500,3.0,100,17800.0,403.0,1875.0,403.0,15522.0,35,3,0.27499999999999997
PANEL_4X4,PANEL,product_rolling,1000,3.0,200,2542.0,387.0,998.0,1157.0,387.0,17,3,0.5833333333333334
SLEEP_POD_NYLON,SLEEP_POD,product_rolling,1000,2.5,500,4946.0,344.0,344.0,2656.0,1946.0,28,3,0.5333333333333333
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,group_regression_open500,1000,2.5,500,17120.0,340.0,9550.0,7230.0,340.0,29,3,0.5518518518518519
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,group_regression_open500,500,3.0,500,6940.0,300.0,790.0,300.0,5850.0,22,3,0.373015873015873
MICROCHIP_RECTANGLE,MICROCHIP,product_rolling,500,2.5,500,20264.0,281.0,17975.0,2008.0,281.0,67,3,0.43218954248366015
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE,group_regression_open500,1000,2.0,500,3932.0,50.0,2332.0,1550.0,50.0,45,3,0.5069444444444444
OXYGEN_SHAKE_MINT,OXYGEN_SHAKE,group_vol,1000,3.0,100,1324.0,10.0,10.0,190.0,1124.0,18,3,0.4444444444444444
TRANSLATOR_GRAPHITE_MIST,TRANSLATOR,group_equal,1000,3.0,100,2482.0,0.0,1670.0,812.0,0.0,11,2,0.4444444444444444
PANEL_4X4,PANEL,product_rolling,200,3.0,500,4999.0,-65.0,-65.0,1956.0,3108.0,64,2,0.4205672283475487
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE,group_regression_open500,500,3.0,500,7741.0,-229.0,5730.0,2240.0,-229.0,29,2,0.5509259259259259
ROBOT_LAUNDRY,ROBOT,product_rolling,1000,3.0,500,9431.0,-242.0,-242.0,9458.0,215.0,12,2,0.4666666666666666
MICROCHIP_OVAL,MICROCHIP,group_vol,1000,2.5,500,7554.0,-330.0,8027.0,-143.0,-330.0,30,1,0.7333333333333334
TRANSLATOR_GRAPHITE_MIST,TRANSLATOR,group_vol,1000,3.0,100,2800.0,-396.0,1727.0,1469.0,-396.0,14,2,0.45
OXYGEN_SHAKE_MINT,OXYGEN_SHAKE,product_rolling,1000,3.0,100,266.0,-430.0,390.0,306.0,-430.0,14,2,0.3611111111111111
SLEEP_POD_POLYESTER,SLEEP_POD,product_rolling,1000,2.5,200,6943.0,-449.0,-449.0,3472.0,3920.0,41,2,0.40396825396825403
PEBBLES_XS,PEBBLES,group_equal,1000,2.5,500,21270.0,-500.0,13360.0,-500.0,8410.0,34,2,0.6439393939393939
PEBBLES_XS,PEBBLES,product_rolling,1000,2.5,500,21288.0,-550.0,13378.0,-550.0,8460.0,34,2,0.6439393939393939
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,group_regression_open500,1000,2.5,200,4820.0,-550.0,1430.0,3940.0,-550.0,34,2,0.5606060606060606
PEBBLES_XL,PEBBLES,product_rolling,1000,3.0,100,16742.0,-590.0,11726.0,5606.0,-590.0,18,2,0.425925925925926
MICROCHIP_SQUARE,MICROCHIP,group_vol,500,3.0,100,20835.0,-647.0,2844.0,-647.0,18638.0,34,2,0.28095238095238095
SNACKPACK_RASPBERRY,SNACKPACK,group_equal,500,3.0,500,8136.0,-670.0,-670.0,2850.0,5956.0,27,2,0.49013949013949015
PEBBLES_L,PEBBLES,product_rolling,500,2.5,500,15426.0,-680.0,-680.0,9086.0,7020.0,55,2,0.5277777777777778
MICROCHIP_RECTANGLE,MICROCHIP,product_rolling,500,2.0,500,21050.0,-721.0,19017.0,2754.0,-721.0,94,2,0.4779964221824688
TRANSLATOR_SPACE_GRAY,TRANSLATOR,product_rolling,500,3.0,500,-599.0,-816.0,-650.0,867.0,-816.0,31,1,0.5488215488215488
TRANSLATOR_ECLIPSE_CHARCOAL,TRANSLATOR,group_regression_open500,1000,2.5,500,249.0,-926.0,783.0,392.0,-926.0,25,2,0.5151515151515151
TRANSLATOR_ECLIPSE_CHARCOAL,TRANSLATOR,group_regression_open500,1000,2.5,200,-388.0,-944.0,215.0,341.0,-944.0,28,2,0.5622710622710623
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,group_equal,1000,2.0,500,10970.0,-1250.0,10670.0,1550.0,-1250.0,45,2,0.5111111111111111
ROBOT_DISHES,ROBOT,group_vol,1000,2.5,500,8231.0,-1459.0,-1459.0,2317.0,7373.0,27,2,0.41111111111111115
SLEEP_POD_NYLON,SLEEP_POD,product_rolling,500,2.0,500,4172.0,-1470.0,3765.0,-1470.0,1877.0,78,2,0.4895238095238095
ROBOT_DISHES,ROBOT,group_equal,1000,2.5,500,9809.0,-1489.0,-1489.0,3003.0,8295.0,28,2,0.43333333333333335
SNACKPACK_STRAWBERRY,SNACKPACK,group_equal,1000,3.0,200,-982.0,-1500.0,-1500.0,1590.0,-1072.0,17,1,0.4666666666666666
MICROCHIP_TRIANGLE,MICROCHIP,product_rolling,1000,1.5,500,22587.0,-1782.0,3208.0,-1782.0,21161.0,65,2,0.5609311740890689
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE,group_regression_open500,1000,2.5,500,2382.0,-1784.0,3726.0,440.0,-1784.0,28,2,0.5707070707070706
PEBBLES_S,PEBBLES,group_vol,1000,2.0,500,10371.0,-1844.0,1240.0,10975.0,-1844.0,40,2,0.5723410576351754
SLEEP_POD_POLYESTER,SLEEP_POD,group_equal,1000,3.0,200,2325.0,-1903.0,2163.0,-1903.0,2065.0,20,2,0.5138888888888888
TRANSLATOR_GRAPHITE_MIST,TRANSLATOR,product_rolling,1000,3.0,200,2457.0,-1926.0,-1926.0,2550.0,1833.0,16,2,0.5277777777777778
ROBOT_LAUNDRY,ROBOT,group_regression_open500,200,2.0,500,3828.0,-2039.0,7490.0,-1623.0,-2039.0,166,1,0.5026205450733753
TRANSLATOR_ECLIPSE_CHARCOAL,TRANSLATOR,group_equal,500,3.0,500,6629.0,-2507.0,-2507.0,2879.0,6257.0,29,2,0.5521885521885522
TRANSLATOR_ECLIPSE_CHARCOAL,TRANSLATOR,group_vol,500,3.0,500,3214.0,-2507.0,-2507.0,-43.0,5764.0,30,1,0.5299663299663299
