group,target,threshold,horizon,exit_rule,days,total_pnl,min_day_pnl,positive_days,total_trades,win_pct,avg_pnl_per_trade,avg_hold,max_hold
TRANSLATOR,TRANSLATOR_VOID_BLUE,1.5,100,fixed_horizon,3,7990.0,1830.0,3,160,0.51875,49.9375,99.93125,100
TRANSLATOR,TRANSLATOR_VOID_BLUE,1.5,100,zero_cross,3,7990.0,1830.0,3,160,0.51875,49.9375,99.93125,100
UV_VISOR,UV_VISOR_MAGENTA,2.0,200,fixed_horizon,3,7990.0,1780.0,3,61,0.5573770491803278,130.98360655737704,199.9672131147541,200
UV_VISOR,UV_VISOR_MAGENTA,2.0,200,zero_cross,3,7990.0,1780.0,3,61,0.5573770491803278,130.98360655737704,199.9672131147541,200
ROBOT,ROBOT_DISHES,3.0,200,fixed_horizon,3,7180.0,270.0,3,27,0.48148148148148145,265.9259259259259,194.59259259259258,200
ROBOT,ROBOT_DISHES,3.0,200,zero_cross,3,7180.0,270.0,3,27,0.48148148148148145,265.9259259259259,194.59259259259258,200
ROBOT,ROBOT_DISHES,2.5,100,fixed_horizon,3,7110.0,110.0,3,77,0.45454545454545453,92.33766233766234,98.81818181818181,100
ROBOT,ROBOT_DISHES,2.5,100,zero_cross,3,7110.0,110.0,3,77,0.45454545454545453,92.33766233766234,98.81818181818181,100
UV_VISOR,UV_VISOR_MAGENTA,2.0,500,zero_cross,3,7020.0,560.0,3,26,0.5769230769230769,270.0,485.84615384615387,500
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_WINDS,3.0,500,fixed_horizon,3,6930.0,2140.0,3,23,0.5217391304347826,301.30434782608694,479.0869565217391,500
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_WINDS,3.0,500,zero_cross,3,6930.0,2140.0,3,23,0.5217391304347826,301.30434782608694,479.0869565217391,500
OXYGEN_SHAKE,OXYGEN_SHAKE_EVENING_BREATH,2.5,500,fixed_horizon,3,6290.0,520.0,3,30,0.5666666666666667,209.66666666666666,492.5,500
OXYGEN_SHAKE,OXYGEN_SHAKE_EVENING_BREATH,2.5,500,zero_cross,3,6290.0,520.0,3,30,0.5666666666666667,209.66666666666666,492.5,500
OXYGEN_SHAKE,OXYGEN_SHAKE_MINT,2.5,200,fixed_horizon,3,5630.0,1030.0,3,69,0.4927536231884058,81.59420289855072,200.0,200
OXYGEN_SHAKE,OXYGEN_SHAKE_MINT,2.5,200,zero_cross,3,5630.0,1030.0,3,69,0.4927536231884058,81.59420289855072,200.0,200
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_WINDS,2.5,500,fixed_horizon,3,5540.0,1670.0,3,28,0.5357142857142857,197.85714285714286,484.35714285714283,500
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_WINDS,2.5,500,zero_cross,3,5540.0,1670.0,3,28,0.5357142857142857,197.85714285714286,484.35714285714283,500
SNACKPACK,SNACKPACK_STRAWBERRY,2.0,500,zero_cross,3,3640.0,450.0,3,36,0.5555555555555556,101.11111111111111,496.94444444444446,500
SNACKPACK,SNACKPACK_STRAWBERRY,2.0,500,fixed_horizon,3,3470.0,280.0,3,36,0.5555555555555556,96.38888888888889,497.5,500
OXYGEN_SHAKE,OXYGEN_SHAKE_MINT,2.5,100,fixed_horizon,3,2370.0,10.0,3,130,0.5230769230769231,18.23076923076923,100.0,100
OXYGEN_SHAKE,OXYGEN_SHAKE_MINT,2.5,100,zero_cross,3,2370.0,10.0,3,130,0.5230769230769231,18.23076923076923,100.0,100
SNACKPACK,SNACKPACK_PISTACHIO,2.0,500,fixed_horizon,3,610.0,10.0,3,27,0.4444444444444444,22.59259259259259,496.0740740740741,500
SNACKPACK,SNACKPACK_PISTACHIO,2.0,500,zero_cross,3,240.0,10.0,3,27,0.4444444444444444,8.88888888888889,492.77777777777777,500
PEBBLES,PEBBLES_M,1.5,500,fixed_horizon,3,36900.0,-4150.0,2,58,0.6206896551724138,636.2068965517242,483.94827586206895,500
PEBBLES,PEBBLES_M,2.0,500,fixed_horizon,3,36900.0,-4150.0,2,58,0.6206896551724138,636.2068965517242,483.94827586206895,500
PEBBLES,PEBBLES_M,2.5,500,fixed_horizon,3,36900.0,-4150.0,2,58,0.6206896551724138,636.2068965517242,483.94827586206895,500
PEBBLES,PEBBLES_M,3.0,500,fixed_horizon,3,36900.0,-4150.0,2,58,0.6206896551724138,636.2068965517242,483.94827586206895,500
PEBBLES,PEBBLES_S,1.5,200,fixed_horizon,3,33460.0,-3060.0,2,130,0.5692307692307692,257.38461538461536,197.93846153846152,200
PEBBLES,PEBBLES_S,2.0,200,fixed_horizon,3,33460.0,-3060.0,2,130,0.5692307692307692,257.38461538461536,197.93846153846152,200
PEBBLES,PEBBLES_S,2.5,200,fixed_horizon,3,33460.0,-3060.0,2,130,0.5692307692307692,257.38461538461536,197.93846153846152,200
PEBBLES,PEBBLES_S,3.0,200,fixed_horizon,3,33460.0,-3060.0,2,130,0.5692307692307692,257.38461538461536,197.93846153846152,200
MICROCHIP,MICROCHIP_SQUARE,2.5,200,fixed_horizon,3,26030.0,-9920.0,2,84,0.5595238095238095,309.8809523809524,199.48809523809524,200
MICROCHIP,MICROCHIP_SQUARE,2.5,200,zero_cross,3,26030.0,-9920.0,2,84,0.5595238095238095,309.8809523809524,199.48809523809524,200
MICROCHIP,MICROCHIP_SQUARE,2.5,100,fixed_horizon,3,24060.0,-10960.0,2,158,0.5569620253164557,152.27848101265823,99.62025316455696,100
MICROCHIP,MICROCHIP_SQUARE,2.5,100,zero_cross,3,24060.0,-10960.0,2,158,0.5569620253164557,152.27848101265823,99.62025316455696,100
