group,target,test_day,threshold,horizon,exit_rule,pnl,trades,wins,avg_hold,max_hold,sigma_train
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,2,2.5,50,fixed_horizon,-2100.0,154,81,50.0,50,485.0487247178928
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,2,2.5,50,zero_cross,-2100.0,154,81,50.0,50,485.0487247178928
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,2,2.5,100,fixed_horizon,4190.0,78,35,100.0,100,485.0487247178928
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,2,2.5,100,zero_cross,4190.0,78,35,100.0,100,485.0487247178928
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,2,2.5,200,fixed_horizon,13310.0,40,22,200.0,200,485.0487247178928
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,2,2.5,200,zero_cross,13310.0,40,22,200.0,200,485.0487247178928
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,2,2.5,500,fixed_horizon,13760.0,16,11,500.0,500,485.0487247178928
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,2,2.5,500,zero_cross,13760.0,16,11,500.0,500,485.0487247178928
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,2,3.0,20,fixed_horizon,-31950.0,366,154,20.0,20,485.0487247178928
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,2,3.0,20,zero_cross,-31950.0,366,154,20.0,20,485.0487247178928
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,2,3.0,50,fixed_horizon,-3250.0,151,79,50.0,50,485.0487247178928
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,2,3.0,50,zero_cross,-3250.0,151,79,50.0,50,485.0487247178928
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,2,3.0,100,fixed_horizon,4620.0,76,35,100.0,100,485.0487247178928
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,2,3.0,100,zero_cross,4620.0,76,35,100.0,100,485.0487247178928
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,2,3.0,200,fixed_horizon,11650.0,39,21,200.0,200,485.0487247178928
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,2,3.0,200,zero_cross,11650.0,39,21,200.0,200,485.0487247178928
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,2,3.0,500,fixed_horizon,13760.0,16,11,500.0,500,485.0487247178928
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,2,3.0,500,zero_cross,13760.0,16,11,500.0,500,485.0487247178928
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,3,1.5,20,fixed_horizon,-42010.0,361,144,20.0,20,799.2926849289831
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,3,1.5,20,zero_cross,-42010.0,361,144,20.0,20,799.2926849289831
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,3,1.5,50,fixed_horizon,-15570.0,149,65,50.0,50,799.2926849289831
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,3,1.5,50,zero_cross,-15570.0,149,65,50.0,50,799.2926849289831
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,3,1.5,100,fixed_horizon,-4160.0,75,38,100.0,100,799.2926849289831
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,3,1.5,100,zero_cross,-4160.0,75,38,100.0,100,799.2926849289831
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,3,1.5,200,fixed_horizon,1570.0,38,21,200.0,200,799.2926849289831
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,3,1.5,200,zero_cross,1570.0,38,21,200.0,200,799.2926849289831
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,3,1.5,500,fixed_horizon,6800.0,16,9,488.8125,500,799.2926849289831
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,3,1.5,500,zero_cross,6800.0,16,9,488.8125,500,799.2926849289831
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,3,2.0,20,fixed_horizon,-26020.0,272,109,20.0,20,799.2926849289831
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,3,2.0,20,zero_cross,-26020.0,272,109,20.0,20,799.2926849289831
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,3,2.0,50,fixed_horizon,-3990.0,117,56,50.0,50,799.2926849289831
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,3,2.0,50,zero_cross,-3990.0,117,56,50.0,50,799.2926849289831
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,3,2.0,100,fixed_horizon,1840.0,61,33,100.0,100,799.2926849289831
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,3,2.0,100,zero_cross,1840.0,61,33,100.0,100,799.2926849289831
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,3,2.0,200,fixed_horizon,6390.0,32,19,200.0,200,799.2926849289831
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,3,2.0,200,zero_cross,6390.0,32,19,200.0,200,799.2926849289831
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,3,2.0,500,fixed_horizon,7760.0,14,8,500.0,500,799.2926849289831
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,3,2.0,500,zero_cross,7760.0,14,8,500.0,500,799.2926849289831
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,3,2.5,20,fixed_horizon,-12340.0,140,63,20.0,20,799.2926849289831
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,3,2.5,20,zero_cross,-12340.0,140,63,20.0,20,799.2926849289831
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,3,2.5,50,fixed_horizon,-2860.0,61,32,50.0,50,799.2926849289831
