case,group,method,target,anchor,window,entry_z,day,pnl,trades
tls__SNACKPACK_CHOCOLATE__SNACKPACK_PISTACHIO__w1000__z3.0,SNACKPACK,tls,SNACKPACK_CHOCOLATE,SNACKPACK_PISTACHIO,1000,3.0,4,860.0,7
ols__SNACKPACK_CHOCOLATE__SNACKPACK_PISTACHIO__w2000__z2.5,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_PISTACHIO,2000,2.5,2,-1780.0,5
ols__SNACKPACK_CHOCOLATE__SNACKPACK_PISTACHIO__w2000__z2.5,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_PISTACHIO,2000,2.5,3,3320.0,4
ols__SNACKPACK_CHOCOLATE__SNACKPACK_PISTACHIO__w2000__z2.5,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_PISTACHIO,2000,2.5,4,-180.0,6
tls__SNACKPACK_CHOCOLATE__SNACKPACK_PISTACHIO__w2000__z2.5,SNACKPACK,tls,SNACKPACK_CHOCOLATE,SNACKPACK_PISTACHIO,2000,2.5,2,-260.0,6
tls__SNACKPACK_CHOCOLATE__SNACKPACK_PISTACHIO__w2000__z2.5,SNACKPACK,tls,SNACKPACK_CHOCOLATE,SNACKPACK_PISTACHIO,2000,2.5,3,3660.0,9
tls__SNACKPACK_CHOCOLATE__SNACKPACK_PISTACHIO__w2000__z2.5,SNACKPACK,tls,SNACKPACK_CHOCOLATE,SNACKPACK_PISTACHIO,2000,2.5,4,-70.0,7
ols__SNACKPACK_CHOCOLATE__SNACKPACK_PISTACHIO__w2000__z3.0,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_PISTACHIO,2000,3.0,2,1250.0,1
ols__SNACKPACK_CHOCOLATE__SNACKPACK_PISTACHIO__w2000__z3.0,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_PISTACHIO,2000,3.0,3,3690.0,3
ols__SNACKPACK_CHOCOLATE__SNACKPACK_PISTACHIO__w2000__z3.0,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_PISTACHIO,2000,3.0,4,1320.0,3
tls__SNACKPACK_CHOCOLATE__SNACKPACK_PISTACHIO__w2000__z3.0,SNACKPACK,tls,SNACKPACK_CHOCOLATE,SNACKPACK_PISTACHIO,2000,3.0,2,-580.0,5
tls__SNACKPACK_CHOCOLATE__SNACKPACK_PISTACHIO__w2000__z3.0,SNACKPACK,tls,SNACKPACK_CHOCOLATE,SNACKPACK_PISTACHIO,2000,3.0,3,-220.0,3
tls__SNACKPACK_CHOCOLATE__SNACKPACK_PISTACHIO__w2000__z3.0,SNACKPACK,tls,SNACKPACK_CHOCOLATE,SNACKPACK_PISTACHIO,2000,3.0,4,0.0,4
ols__SNACKPACK_CHOCOLATE__SNACKPACK_STRAWBERRY__w500__z2.5,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_STRAWBERRY,500,2.5,2,2480.0,23
ols__SNACKPACK_CHOCOLATE__SNACKPACK_STRAWBERRY__w500__z2.5,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_STRAWBERRY,500,2.5,3,-3880.0,23
ols__SNACKPACK_CHOCOLATE__SNACKPACK_STRAWBERRY__w500__z2.5,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_STRAWBERRY,500,2.5,4,-150.0,22
tls__SNACKPACK_CHOCOLATE__SNACKPACK_STRAWBERRY__w500__z2.5,SNACKPACK,tls,SNACKPACK_CHOCOLATE,SNACKPACK_STRAWBERRY,500,2.5,2,2130.0,29
tls__SNACKPACK_CHOCOLATE__SNACKPACK_STRAWBERRY__w500__z2.5,SNACKPACK,tls,SNACKPACK_CHOCOLATE,SNACKPACK_STRAWBERRY,500,2.5,3,-3040.0,31
tls__SNACKPACK_CHOCOLATE__SNACKPACK_STRAWBERRY__w500__z2.5,SNACKPACK,tls,SNACKPACK_CHOCOLATE,SNACKPACK_STRAWBERRY,500,2.5,4,-3940.0,33
ols__SNACKPACK_CHOCOLATE__SNACKPACK_STRAWBERRY__w500__z3.0,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_STRAWBERRY,500,3.0,2,760.0,10
ols__SNACKPACK_CHOCOLATE__SNACKPACK_STRAWBERRY__w500__z3.0,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_STRAWBERRY,500,3.0,3,-3060.0,12
ols__SNACKPACK_CHOCOLATE__SNACKPACK_STRAWBERRY__w500__z3.0,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_STRAWBERRY,500,3.0,4,1410.0,14
tls__SNACKPACK_CHOCOLATE__SNACKPACK_STRAWBERRY__w500__z3.0,SNACKPACK,tls,SNACKPACK_CHOCOLATE,SNACKPACK_STRAWBERRY,500,3.0,2,500.0,18
tls__SNACKPACK_CHOCOLATE__SNACKPACK_STRAWBERRY__w500__z3.0,SNACKPACK,tls,SNACKPACK_CHOCOLATE,SNACKPACK_STRAWBERRY,500,3.0,3,-480.0,19
tls__SNACKPACK_CHOCOLATE__SNACKPACK_STRAWBERRY__w500__z3.0,SNACKPACK,tls,SNACKPACK_CHOCOLATE,SNACKPACK_STRAWBERRY,500,3.0,4,-2640.0,16
ols__SNACKPACK_CHOCOLATE__SNACKPACK_STRAWBERRY__w1000__z2.5,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_STRAWBERRY,1000,2.5,2,-1270.0,10
ols__SNACKPACK_CHOCOLATE__SNACKPACK_STRAWBERRY__w1000__z2.5,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_STRAWBERRY,1000,2.5,3,4280.0,13
ols__SNACKPACK_CHOCOLATE__SNACKPACK_STRAWBERRY__w1000__z2.5,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_STRAWBERRY,1000,2.5,4,100.0,12
tls__SNACKPACK_CHOCOLATE__SNACKPACK_STRAWBERRY__w1000__z2.5,SNACKPACK,tls,SNACKPACK_CHOCOLATE,SNACKPACK_STRAWBERRY,1000,2.5,2,1355.0,17
tls__SNACKPACK_CHOCOLATE__SNACKPACK_STRAWBERRY__w1000__z2.5,SNACKPACK,tls,SNACKPACK_CHOCOLATE,SNACKPACK_STRAWBERRY,1000,2.5,3,-1110.0,14
tls__SNACKPACK_CHOCOLATE__SNACKPACK_STRAWBERRY__w1000__z2.5,SNACKPACK,tls,SNACKPACK_CHOCOLATE,SNACKPACK_STRAWBERRY,1000,2.5,4,-600.0,14
ols__SNACKPACK_CHOCOLATE__SNACKPACK_STRAWBERRY__w1000__z3.0,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_STRAWBERRY,1000,3.0,2,1250.0,10
ols__SNACKPACK_CHOCOLATE__SNACKPACK_STRAWBERRY__w1000__z3.0,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_STRAWBERRY,1000,3.0,3,3060.0,8
ols__SNACKPACK_CHOCOLATE__SNACKPACK_STRAWBERRY__w1000__z3.0,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_STRAWBERRY,1000,3.0,4,1500.0,8
tls__SNACKPACK_CHOCOLATE__SNACKPACK_STRAWBERRY__w1000__z3.0,SNACKPACK,tls,SNACKPACK_CHOCOLATE,SNACKPACK_STRAWBERRY,1000,3.0,2,2415.0,15
tls__SNACKPACK_CHOCOLATE__SNACKPACK_STRAWBERRY__w1000__z3.0,SNACKPACK,tls,SNACKPACK_CHOCOLATE,SNACKPACK_STRAWBERRY,1000,3.0,3,-1390.0,7
tls__SNACKPACK_CHOCOLATE__SNACKPACK_STRAWBERRY__w1000__z3.0,SNACKPACK,tls,SNACKPACK_CHOCOLATE,SNACKPACK_STRAWBERRY,1000,3.0,4,-990.0,10
ols__SNACKPACK_CHOCOLATE__SNACKPACK_STRAWBERRY__w2000__z2.5,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_STRAWBERRY,2000,2.5,2,-1660.0,5
ols__SNACKPACK_CHOCOLATE__SNACKPACK_STRAWBERRY__w2000__z2.5,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_STRAWBERRY,2000,2.5,3,950.0,7
ols__SNACKPACK_CHOCOLATE__SNACKPACK_STRAWBERRY__w2000__z2.5,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_STRAWBERRY,2000,2.5,4,570.0,9
tls__SNACKPACK_CHOCOLATE__SNACKPACK_STRAWBERRY__w2000__z2.5,SNACKPACK,tls,SNACKPACK_CHOCOLATE,SNACKPACK_STRAWBERRY,2000,2.5,2,-920.0,7
tls__SNACKPACK_CHOCOLATE__SNACKPACK_STRAWBERRY__w2000__z2.5,SNACKPACK,tls,SNACKPACK_CHOCOLATE,SNACKPACK_STRAWBERRY,2000,2.5,3,3090.0,9
tls__SNACKPACK_CHOCOLATE__SNACKPACK_STRAWBERRY__w2000__z2.5,SNACKPACK,tls,SNACKPACK_CHOCOLATE,SNACKPACK_STRAWBERRY,2000,2.5,4,-270.0,12
ols__SNACKPACK_CHOCOLATE__SNACKPACK_STRAWBERRY__w2000__z3.0,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_STRAWBERRY,2000,3.0,2,1320.0,1
ols__SNACKPACK_CHOCOLATE__SNACKPACK_STRAWBERRY__w2000__z3.0,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_STRAWBERRY,2000,3.0,3,1150.0,4
ols__SNACKPACK_CHOCOLATE__SNACKPACK_STRAWBERRY__w2000__z3.0,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_STRAWBERRY,2000,3.0,4,600.0,4
tls__SNACKPACK_CHOCOLATE__SNACKPACK_STRAWBERRY__w2000__z3.0,SNACKPACK,tls,SNACKPACK_CHOCOLATE,SNACKPACK_STRAWBERRY,2000,3.0,2,-320.0,5
tls__SNACKPACK_CHOCOLATE__SNACKPACK_STRAWBERRY__w2000__z3.0,SNACKPACK,tls,SNACKPACK_CHOCOLATE,SNACKPACK_STRAWBERRY,2000,3.0,3,2700.0,5
tls__SNACKPACK_CHOCOLATE__SNACKPACK_STRAWBERRY__w2000__z3.0,SNACKPACK,tls,SNACKPACK_CHOCOLATE,SNACKPACK_STRAWBERRY,2000,3.0,4,-820.0,7
ols__SNACKPACK_CHOCOLATE__SNACKPACK_RASPBERRY__w500__z2.5,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_RASPBERRY,500,2.5,2,1090.0,26
ols__SNACKPACK_CHOCOLATE__SNACKPACK_RASPBERRY__w500__z2.5,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_RASPBERRY,500,2.5,3,900.0,22
ols__SNACKPACK_CHOCOLATE__SNACKPACK_RASPBERRY__w500__z2.5,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_RASPBERRY,500,2.5,4,-2190.0,21
tls__SNACKPACK_CHOCOLATE__SNACKPACK_RASPBERRY__w500__z2.5,SNACKPACK,tls,SNACKPACK_CHOCOLATE,SNACKPACK_RASPBERRY,500,2.5,2,1930.0,31
tls__SNACKPACK_CHOCOLATE__SNACKPACK_RASPBERRY__w500__z2.5,SNACKPACK,tls,SNACKPACK_CHOCOLATE,SNACKPACK_RASPBERRY,500,2.5,3,-1900.0,32
tls__SNACKPACK_CHOCOLATE__SNACKPACK_RASPBERRY__w500__z2.5,SNACKPACK,tls,SNACKPACK_CHOCOLATE,SNACKPACK_RASPBERRY,500,2.5,4,-4070.0,36
ols__SNACKPACK_CHOCOLATE__SNACKPACK_RASPBERRY__w500__z3.0,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_RASPBERRY,500,3.0,2,140.0,14
ols__SNACKPACK_CHOCOLATE__SNACKPACK_RASPBERRY__w500__z3.0,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_RASPBERRY,500,3.0,3,50.0,11
ols__SNACKPACK_CHOCOLATE__SNACKPACK_RASPBERRY__w500__z3.0,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_RASPBERRY,500,3.0,4,-500.0,13
tls__SNACKPACK_CHOCOLATE__SNACKPACK_RASPBERRY__w500__z3.0,SNACKPACK,tls,SNACKPACK_CHOCOLATE,SNACKPACK_RASPBERRY,500,3.0,2,750.0,20
tls__SNACKPACK_CHOCOLATE__SNACKPACK_RASPBERRY__w500__z3.0,SNACKPACK,tls,SNACKPACK_CHOCOLATE,SNACKPACK_RASPBERRY,500,3.0,3,1700.0,18
tls__SNACKPACK_CHOCOLATE__SNACKPACK_RASPBERRY__w500__z3.0,SNACKPACK,tls,SNACKPACK_CHOCOLATE,SNACKPACK_RASPBERRY,500,3.0,4,-2490.0,23
ols__SNACKPACK_CHOCOLATE__SNACKPACK_RASPBERRY__w1000__z2.5,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_RASPBERRY,1000,2.5,2,-420.0,10
ols__SNACKPACK_CHOCOLATE__SNACKPACK_RASPBERRY__w1000__z2.5,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_RASPBERRY,1000,2.5,3,4070.0,11
ols__SNACKPACK_CHOCOLATE__SNACKPACK_RASPBERRY__w1000__z2.5,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_RASPBERRY,1000,2.5,4,-2090.0,11
tls__SNACKPACK_CHOCOLATE__SNACKPACK_RASPBERRY__w1000__z2.5,SNACKPACK,tls,SNACKPACK_CHOCOLATE,SNACKPACK_RASPBERRY,1000,2.5,2,-1360.0,17
tls__SNACKPACK_CHOCOLATE__SNACKPACK_RASPBERRY__w1000__z2.5,SNACKPACK,tls,SNACKPACK_CHOCOLATE,SNACKPACK_RASPBERRY,1000,2.5,3,-3840.0,17
tls__SNACKPACK_CHOCOLATE__SNACKPACK_RASPBERRY__w1000__z2.5,SNACKPACK,tls,SNACKPACK_CHOCOLATE,SNACKPACK_RASPBERRY,1000,2.5,4,-1330.0,14
ols__SNACKPACK_CHOCOLATE__SNACKPACK_RASPBERRY__w1000__z3.0,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_RASPBERRY,1000,3.0,2,2700.0,9
ols__SNACKPACK_CHOCOLATE__SNACKPACK_RASPBERRY__w1000__z3.0,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_RASPBERRY,1000,3.0,3,4220.0,9
ols__SNACKPACK_CHOCOLATE__SNACKPACK_RASPBERRY__w1000__z3.0,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_RASPBERRY,1000,3.0,4,110.0,4
tls__SNACKPACK_CHOCOLATE__SNACKPACK_RASPBERRY__w1000__z3.0,SNACKPACK,tls,SNACKPACK_CHOCOLATE,SNACKPACK_RASPBERRY,1000,3.0,2,1650.0,14
tls__SNACKPACK_CHOCOLATE__SNACKPACK_RASPBERRY__w1000__z3.0,SNACKPACK,tls,SNACKPACK_CHOCOLATE,SNACKPACK_RASPBERRY,1000,3.0,3,260.0,11
tls__SNACKPACK_CHOCOLATE__SNACKPACK_RASPBERRY__w1000__z3.0,SNACKPACK,tls,SNACKPACK_CHOCOLATE,SNACKPACK_RASPBERRY,1000,3.0,4,560.0,11
ols__SNACKPACK_CHOCOLATE__SNACKPACK_RASPBERRY__w2000__z2.5,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_RASPBERRY,2000,2.5,2,-2085.0,5
