product,group,path_type,threshold,exit_band,train_days,test_day,pnl,trades,end_pos
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,bucket_delta_b0,300,75.0,2+3,4,4667.0,50,10
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,group_offset,20,20.0,3+4,2,-1242.0,356,-10
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,group_offset,20,20.0,2+4,3,-1529.0,850,-10
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,group_offset,20,20.0,2+3,4,3965.0,336,10
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,group_offset,40,20.0,3+4,2,-158.0,238,-10
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,group_offset,40,20.0,2+4,3,286.0,512,-10
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,group_offset,40,20.0,2+3,4,5199.0,224,10
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,group_offset,80,20.0,3+4,2,774.0,146,-10
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,group_offset,80,20.0,2+4,3,3735.0,346,-10
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,group_offset,80,20.0,2+3,4,5031.0,128,10
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,group_offset,120,30.0,3+4,2,393.0,100,-10
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,group_offset,120,30.0,2+4,3,6689.0,284,-10
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,group_offset,120,30.0,2+3,4,4564.0,74,10
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,group_offset,160,40.0,3+4,2,-1076.0,52,-10
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,group_offset,160,40.0,2+4,3,9237.0,260,-10
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,group_offset,160,40.0,2+3,4,4858.0,70,10
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,group_offset,200,50.0,3+4,2,-852.0,50,-10
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,group_offset,200,50.0,2+4,3,7659.0,194,-10
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,group_offset,200,50.0,2+3,4,4001.0,50,10
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,group_offset,300,75.0,3+4,2,-592.0,50,-10
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,group_offset,300,75.0,2+4,3,3117.0,90,-10
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,group_offset,300,75.0,2+3,4,5369.0,70,10
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,group_scaled,20,20.0,3+4,2,4485.0,30,10
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,group_scaled,20,20.0,2+4,3,3317.0,156,-10
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,group_scaled,20,20.0,2+3,4,-1653.0,40,10
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,group_scaled,40,20.0,3+4,2,4573.0,30,10
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,group_scaled,40,20.0,2+4,3,3406.0,98,-10
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,group_scaled,40,20.0,2+3,4,-1346.0,30,10
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,group_scaled,80,20.0,3+4,2,4839.0,30,10
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,group_scaled,80,20.0,2+4,3,4109.0,90,-10
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,group_scaled,80,20.0,2+3,4,-1092.0,30,10
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,group_scaled,120,30.0,3+4,2,5258.0,30,10
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,group_scaled,120,30.0,2+4,3,3847.0,70,-10
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,group_scaled,120,30.0,2+3,4,-917.0,30,10
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,group_scaled,160,40.0,3+4,2,5668.0,30,10
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,group_scaled,160,40.0,2+4,3,3568.0,52,-10
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,group_scaled,160,40.0,2+3,4,-529.0,30,10
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,group_scaled,200,50.0,3+4,2,5733.0,30,10
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,group_scaled,200,50.0,2+4,3,5533.0,70,-10
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,group_scaled,200,50.0,2+3,4,-51.0,30,10
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,group_scaled,300,75.0,3+4,2,8963.0,50,10
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,group_scaled,300,75.0,2+4,3,4081.0,50,-10
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,group_scaled,300,75.0,2+3,4,1623.0,30,10
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,bucket_mean,20,20.0,3+4,2,10090.0,238,-10
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,bucket_mean,20,20.0,2+4,3,-1255.0,10,-10
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,bucket_mean,20,20.0,2+3,4,-4586.0,560,10
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,bucket_mean,40,20.0,3+4,2,10413.0,154,-10
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,bucket_mean,40,20.0,2+4,3,-1255.0,10,-10
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,bucket_mean,40,20.0,2+3,4,-2698.0,406,10
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,bucket_mean,80,20.0,3+4,2,10687.0,92,-10
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,bucket_mean,80,20.0,2+4,3,-1255.0,10,-10
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,bucket_mean,80,20.0,2+3,4,-1392.0,246,10
