source_product,feature,mean_importance,min_importance
SNACKPACK_STRAWBERRY,ret10,8.139125876295008e-06,7.0007640152427406e-06
ROBOT_LAUNDRY,ret10,6.578641383928776e-06,3.70880795470393e-06
PANEL_2X2,ret10,5.040794039916128e-06,3.5678549707713883e-06
OXYGEN_SHAKE_MINT,ret10,4.849269519891315e-06,1.8714401451154536e-06
SNACKPACK_CHOCOLATE,ret10,4.640927619189903e-06,7.842781696647742e-07
MICROCHIP_CIRCLE,spread,4.402777337757683e-06,0.0
TRANSLATOR_VOID_BLUE,ret10,4.025626609675862e-06,0.0
PEBBLES_XL,ret10,3.923972517551489e-06,0.0
OXYGEN_SHAKE_CHOCOLATE,ret10,3.854466586374003e-06,0.0
ROBOT_MOPPING,ret10,3.765939313820158e-06,0.0
GALAXY_SOUNDS_DARK_MATTER,ret10,3.3637844262592805e-06,0.0
UV_VISOR_MAGENTA,ret10,3.064123590568331e-06,0.0
TRANSLATOR_SPACE_GRAY,ret10,2.998165173263012e-06,0.0
UV_VISOR_AMBER,ret10,2.8893501551022694e-06,0.0
TRANSLATOR_ECLIPSE_CHARCOAL,ret10,2.6942853059334144e-06,0.0
PANEL_4X4,ret10,2.5668338176676486e-06,0.0
MICROCHIP_RECTANGLE,ret10,2.4556780037170303e-06,1.5126997079028309e-06
MICROCHIP_SQUARE,ret10,2.3838811585662345e-06,0.0
OXYGEN_SHAKE_GARLIC,ret10,2.2988581774229785e-06,0.0
PEBBLES_S,ret10,2.283118226390834e-06,9.934210701897704e-07
GALAXY_SOUNDS_PLANETARY_RINGS,ret10,2.1817844997721135e-06,0.0
SNACKPACK_VANILLA,ret10,2.054834160620416e-06,0.0
SLEEP_POD_POLYESTER,ret10,1.8890893472243672e-06,0.0
OXYGEN_SHAKE_EVENING_BREATH,ret10,1.8881659650453415e-06,0.0
UV_VISOR_YELLOW,ret10,1.8861522937819972e-06,0.0
PEBBLES_L,ret10,1.8214878361067767e-06,0.0
PEBBLES_XS,ret10,1.5862379451335858e-06,0.0
SLEEP_POD_LAMB_WOOL,spread,1.3526072666904397e-06,0.0
GALAXY_SOUNDS_SOLAR_FLAMES,ret10,1.3419158217434028e-06,0.0
TRANSLATOR_ASTRO_BLACK,ret10,9.97700200686357e-07,0.0
ROBOT_VACUUMING,ret10,9.715887096911543e-07,0.0
PANEL_2X4,ret10,9.400788863063731e-07,0.0
SLEEP_POD_NYLON,ret10,9.08212137910803e-07,0.0
OXYGEN_SHAKE_MORNING_BREATH,ret10,8.178502813980914e-07,0.0
OXYGEN_SHAKE_MORNING_BREATH,ret1,7.50799072583666e-07,0.0
SLEEP_POD_POLYESTER,ret1,7.416708061686381e-07,0.0
TRANSLATOR_GRAPHITE_MIST,ret10,7.135559737329992e-07,0.0
MICROCHIP_CIRCLE,ret10,6.167018949500304e-07,0.0
TRANSLATOR_ASTRO_BLACK,ret1,4.83884812452896e-07,0.0
SLEEP_POD_COTTON,ret10,4.461431245277923e-07,0.0
MICROCHIP_SQUARE,spread,4.2580502569814973e-07,0.0
MICROCHIP_OVAL,ret10,4.0618604725322147e-07,0.0
SLEEP_POD_POLYESTER,spread,4.0523712878776537e-07,0.0
TRANSLATOR_ECLIPSE_CHARCOAL,ret1,3.90527409413159e-07,0.0
ROBOT_LAUNDRY,spread,3.676697467811417e-07,0.0
UV_VISOR_MAGENTA,ret1,3.4139523750899455e-07,0.0
SNACKPACK_PISTACHIO,ret10,3.357674486384737e-07,0.0
PEBBLES_XS,spread,3.3035093880965074e-07,0.0
SNACKPACK_PISTACHIO,spread,3.2043558987210884e-07,0.0
OXYGEN_SHAKE_MORNING_BREATH,spread,3.203930020993576e-07,0.0
SNACKPACK_STRAWBERRY,ret1,3.1206157403645423e-07,0.0
SLEEP_POD_SUEDE,ret1,2.99118100733701e-07,0.0
UV_VISOR_RED,ret10,2.9806890687556946e-07,0.0
MICROCHIP_CIRCLE,ret1,2.931401646849253e-07,0.0
OXYGEN_SHAKE_GARLIC,ret1,2.720855335549566e-07,0.0
SNACKPACK_RASPBERRY,ret10,2.4895701911716987e-07,0.0
UV_VISOR_RED,spread,2.486232184098868e-07,0.0
PANEL_1X2,ret1,2.437914784246499e-07,0.0
GALAXY_SOUNDS_DARK_MATTER,ret1,2.4132440827518247e-07,0.0
GALAXY_SOUNDS_PLANETARY_RINGS,spread,2.3992659424094677e-07,0.0
PANEL_1X4,ret10,2.296712595518229e-07,0.0
GALAXY_SOUNDS_BLACK_HOLES,ret10,2.24938656843185e-07,0.0
MICROCHIP_TRIANGLE,ret1,1.9865619813247522e-07,0.0
ROBOT_MOPPING,ret1,1.9260701122155286e-07,0.0
SLEEP_POD_NYLON,ret1,1.9223674866079228e-07,0.0
